index,id,date,time,year_compet,id_compet,name_compet,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_elo,visitor_elo,local_note,visitor_note,local_tilt,visitor_tilt,local_xG,visitor_xG,local_form_str,local_date_str,visitor_form_str,visitor_date_str
25,305385,2022-01-09,03:06,2022,141,Liga MX - Clôture ,Journée 1,10275,4346,Monterrey,Querétaro,Monterrey - Querétaro,0-0,0,0,1,2176.0,1853.0,75.0,69.0,-26.0,-40.0,1.26,0.52,1µ0µ-17µ0µ0µ1µ-13µ-48µ0µ0µ0µ0µ0µ0µ-7µ7µ-53µ1µ5µ-15µ-29µ-13µ0µ-21µ7µ-22µ10µ6µ-13µ-19µ-43µ38µ5µ12µ-66µ-25µ-44µ-44µ-22µ5µ30µ-17µ-16,2018-08-02 04:00:00µ2018-08-08 04:00:00µ2018-08-15 04:00:00µ2018-08-29 04:00:00µ2018-10-03 04:15:00µ2018-10-10 03:30:00µ2018-10-24 04:06:00µ2018-11-01 03:36:00µ2019-08-01 04:00:00µ2019-10-12 03:00:00µ2019-10-24 02:00:00µ2019-11-06 04:00:00µ2020-01-23 02:00:00µ2020-01-30 04:10:00µ2020-02-12 02:00:00µ2020-02-20 02:00:00µ2020-03-05 04:00:00µ2020-03-12 04:00:00µ2020-10-22 04:06:00µ2020-11-05 03:36:00µ2021-05-14 04:05:00µ2021-05-17 01:00:00µ2021-07-05 02:00:00µ2021-07-26 02:06:00µ2021-08-01 04:00:00µ2021-08-07 02:00:00µ2021-08-15 04:06:00µ2021-08-19 02:00:00µ2021-08-22 04:36:00µ2021-08-28 04:06:00µ2021-09-12 00:01:00µ2021-09-20 02:06:00µ2021-09-23 02:06:00µ2021-09-27 02:06:00µ2021-10-02 04:00:00µ2021-10-17 00:01:00µ2021-10-20 00:01:00µ2021-10-24 00:06:00µ2021-11-01 02:05:00µ2021-11-07 02:00:00µ2021-11-22 02:15:00µ2021-11-25 04:05:00µ2021-11-28 04:05:00,-7µ0µ24µ1µ0µ-2µ-53µ0µ-36µ-17µ-10µ-52µ27µ1µ22µ-14µ-7µ-38µ15µ21µ-19µ-2µ17µ-1µ-8µ-11µ33µ-1µ41µ18µ1µ7µ44µ-31µ-5µ-22,2018-08-02 02:00:00µ2018-08-08 02:00:00µ2018-08-29 02:00:00µ2018-09-05 02:00:00µ2018-09-27 02:00:00µ2018-10-10 03:30:00µ2019-01-17 02:00:00µ2019-01-24 02:00:00µ2019-02-07 02:00:00µ2019-02-21 04:00:00µ2019-07-31 04:00:00µ2019-08-07 04:06:00µ2019-08-14 02:00:00µ2019-10-03 04:00:00µ2020-01-22 02:00:00µ2020-01-30 04:10:00µ2021-05-09 04:15:00µ2021-07-09 03:30:00µ2021-07-13 02:30:00µ2021-07-23 04:00:00µ2021-08-03 04:00:00µ2021-08-06 04:05:00µ2021-08-15 00:01:00µ2021-08-18 02:00:00µ2021-08-23 04:00:00µ2021-08-28 04:00:00µ2021-09-13 02:00:00µ2021-09-20 02:00:00µ2021-09-30 04:15:00µ2021-10-03 19:00:00µ2021-10-09 02:00:00µ2021-10-15 03:00:00µ2021-10-20 00:01:00µ2021-10-23 04:00:00µ2021-10-31 00:01:00µ2021-11-05 04:00:00
26,305387,2022-01-09,05:00,2022,141,Liga MX - Clôture ,Journée 1,705,5994,Cruz Azul,Tijuana,Cruz Azul - Tijuana,2-0,2,0,0,2026.0,1938.0,72.0,71.0,13.0,-18.0,1.71,0.78,0µ-15µ0µ-31µ11µ0µ-8µ45µ-29µ0µ-8µ-36µ5µ6µ3µ8µ2µ2µ-32µ4µ-8µ6µ9µ-12µ6µ0µ17µ-67µ-13µ1µ4µ-11µ-22µ-18µ-44µ1µ-21µ-30µ2µ-56µ1µ-21µ-12µ22µ-30µ-39µ-39µ0,2018-08-02 02:00:00µ2018-08-09 02:00:00µ2018-08-16 02:00:00µ2018-08-30 04:00:00µ2018-09-26 04:15:00µ2018-10-03 02:00:00µ2018-10-25 03:30:00µ2018-11-01 03:36:00µ2019-01-17 02:00:00µ2019-01-24 02:00:00µ2019-02-07 02:00:00µ2019-02-20 04:00:00µ2019-07-15 00:01:00µ2020-07-05 02:00:00µ2020-07-09 02:00:00µ2020-07-12 04:00:00µ2020-07-16 04:00:00µ2020-07-20 03:45:00µ2021-05-13 02:00:00µ2021-05-16 03:05:00µ2021-05-20 03:30:00µ2021-05-23 03:00:00µ2021-05-28 04:00:00µ2021-05-31 03:15:00µ2021-07-08 04:30:00µ2021-07-11 03:00:00µ2021-07-19 01:30:00µ2021-07-27 03:00:00µ2021-08-02 01:00:00µ2021-08-07 04:05:00µ2021-08-15 04:00:00µ2021-08-19 02:00:00µ2021-08-22 04:00:00µ2021-08-30 03:00:00µ2021-09-11 04:00:00µ2021-09-20 02:00:00µ2021-09-25 03:00:00µ2021-09-30 02:00:00µ2021-10-04 04:06:00µ2021-10-08 04:30:00µ2021-10-17 04:00:00µ2021-10-20 04:05:00µ2021-10-24 04:00:00µ2021-11-01 00:05:00µ2021-11-04 04:00:00µ2021-11-08 00:01:00µ2021-11-22 02:15:00µ2021-12-21 04:00:00,-18µ42µ0µ-6µ-16µ-18µ-10µ0µ23µ-17µ14µ-5µ6µ-31µ0µ0µ2µ1µ11µ-7µ33µ24µ-8µ14µ0µ0µ-2µ-2µ-35µ-10µ-7µ-3µ16µ33µ-75µ-19µ-53µ-4µ-12µ12µ-23µ30µ33,2018-07-26 04:00:00µ2018-08-09 04:00:00µ2018-08-16 04:00:00µ2018-09-06 04:00:00µ2018-09-26 04:15:00µ2019-01-16 04:06:00µ2019-01-24 04:00:00µ2019-02-07 02:00:00µ2019-02-20 04:06:00µ2019-02-27 04:15:00µ2019-03-13 04:05:00µ2019-04-03 04:15:00µ2019-07-31 04:00:00µ2019-08-14 02:00:00µ2019-09-05 02:00:00µ2019-10-23 04:00:00µ2020-01-22 04:00:00µ2020-01-29 04:10:00µ2020-02-12 04:00:00µ2020-02-19 02:00:00µ2020-03-04 04:00:00µ2020-03-11 04:00:00µ2020-10-22 04:06:00µ2020-11-05 03:36:00µ2021-07-11 02:00:00µ2021-07-18 02:00:00µ2021-07-26 04:06:00µ2021-08-01 00:01:00µ2021-08-07 04:06:00µ2021-08-14 04:00:00µ2021-08-18 04:06:00µ2021-08-23 00:01:00µ2021-08-28 04:06:00µ2021-09-11 04:06:00µ2021-09-17 02:00:00µ2021-09-25 04:06:00µ2021-09-29 00:01:00µ2021-10-04 04:06:00µ2021-10-15 03:00:00µ2021-10-21 04:06:00µ2021-10-24 19:00:00µ2021-10-29 02:00:00µ2021-11-07 04:06:00
44,282490,2022-01-09,09:45,2022,54,A-League,Journée 9,18574,15211,Melbourne City,Western Sydney Wanderers,Melbourne City - Western Sydney Wanderers,3-3,3,3,1,682.0,535.0,43.0,38.0,64.0,30.0,2.55,1.25,2µ2µ-2µ1µ-10µ1µ-2µ-3,2021-11-12 09:30:00µ2021-11-19 09:45:00µ2021-11-27 09:45:00µ2021-12-01 10:00:00µ2021-12-04 09:45:00µ2021-12-08 09:45:00µ2021-12-18 09:45:00µ2022-01-05 09:30:00,3µ0µ-4µ4µ-8µ-6µ-10,2021-11-10 09:30:00µ2021-11-20 09:45:00µ2021-11-28 08:15:00µ2021-12-03 09:45:00µ2021-12-07 09:30:00µ2021-12-11 09:45:00µ2021-12-18 07:05:00
36,49992,2022-01-09,12:30,2022,37,Süper Lig,Journée 20,1463,2343,Konyaspor,Sivasspor,Konyaspor - Sivasspor,0-1,0,1,2,1793.0,1391.0,68.0,60.0,0.0,54.0,1.78,1.44,1µ7µ31µ25µ30µ-12µ0µ-18µ11µ-13µ-10µ0µ-1µ6µ36µ6µ7µ-34µ0µ-17µ1µ3µ3µ35µ0,2021-07-25 15:00:00µ2021-08-01 16:00:00µ2021-08-08 19:00:00µ2021-08-16 18:15:00µ2021-08-22 18:15:00µ2021-08-27 20:45:00µ2021-09-11 16:00:00µ2021-09-19 12:30:00µ2021-09-23 16:00:00µ2021-09-27 19:00:00µ2021-10-02 12:30:00µ2021-10-10 12:30:00µ2021-10-17 15:00:00µ2021-10-23 15:00:00µ2021-10-30 18:00:00µ2021-11-07 11:30:00µ2021-11-21 14:00:00µ2021-11-28 11:30:00µ2021-12-02 17:00:00µ2021-12-06 18:00:00µ2021-12-11 11:30:00µ2021-12-18 14:00:00µ2021-12-22 15:00:00µ2021-12-27 18:00:00µ2021-12-30 13:00:00,0µ0µ0µ-4µ-29µ-4µ-6µ-6µ-17µ18µ-17µ3µ0µ-1µ-15µ-18µ-18µ-18µ-12µ-10µ2µ16µ36µ6µ-15µ-53µ0,2021-07-22 19:00:00µ2021-07-29 19:00:00µ2021-08-05 19:00:00µ2021-08-12 20:00:00µ2021-08-16 18:15:00µ2021-08-19 20:00:00µ2021-08-23 18:15:00µ2021-08-26 19:00:00µ2021-08-29 18:15:00µ2021-09-12 16:00:00µ2021-09-18 12:30:00µ2021-09-21 19:00:00µ2021-09-25 12:30:00µ2021-10-02 18:00:00µ2021-10-16 15:00:00µ2021-10-24 15:00:00µ2021-10-30 15:00:00µ2021-11-06 11:30:00µ2021-11-14 14:00:00µ2021-11-20 14:00:00µ2021-11-28 14:00:00µ2021-12-04 11:30:00µ2021-12-13 16:00:00µ2021-12-18 11:30:00µ2021-12-22 15:00:00µ2021-12-27 18:00:00µ2021-12-30 15:00:00
5,48975,2022-01-09,13:30,2022,7,Serie A,Journée 21,2673,1692,Venezia,Milan,Venezia - Milan,0-3,0,3,2,494.0,2779.0,36.0,85.0,18.0,57.0,0.84,3.72,27µ20µ9µ20µ1µ38µ37µ19µ-4µ0µ-4µ-36µ67µ-36µ0µ30µ31µ68µ0µ-50µ33µ68µ-38µ67µ0µ0µ-2µ34µ8µ34µ0,2021-05-13 21:00:00µ2021-05-17 20:45:00µ2021-05-20 18:30:00µ2021-05-23 21:15:00µ2021-05-27 21:15:00µ2021-07-31 20:00:00µ2021-08-03 15:00:00µ2021-08-06 18:30:00µ2021-08-15 20:45:00µ2021-08-22 20:45:00µ2021-08-27 18:30:00µ2021-09-04 17:00:00µ2021-09-11 15:00:00µ2021-09-19 15:00:00µ2021-09-22 20:45:00µ2021-09-27 20:45:00µ2021-10-01 20:45:00µ2021-10-18 20:45:00µ2021-10-23 18:00:00µ2021-10-26 18:30:00µ2021-10-31 15:00:00µ2021-11-07 12:30:00µ2021-11-13 13:00:00µ2021-11-21 15:00:00µ2021-11-27 20:45:00µ2021-11-30 18:30:00µ2021-12-05 15:00:00µ2021-12-11 18:00:00µ2021-12-14 15:00:00µ2021-12-19 18:00:00µ2021-12-22 16:30:00,-1µ-11µ17µ0µ-19µ-14µ18µ0µ1µ1µ21µ-7µ32µ0µ0µ-13µ28µ0µ-8µ0µ0µ32µ27µ17µ-65µ74µ-101µ1µ0µ-5µ-34µ-23µ1µ57,2019-07-24 03:00:00µ2019-07-28 21:06:00µ2019-08-03 18:36:00µ2021-07-24 17:00:00µ2021-07-31 20:30:00µ2021-08-04 20:30:00µ2021-08-08 18:30:00µ2021-08-14 20:30:00µ2021-08-23 20:45:00µ2021-08-29 20:45:00µ2021-09-12 18:00:00µ2021-09-15 21:00:00µ2021-09-19 20:45:00µ2021-09-22 20:45:00µ2021-09-25 15:00:00µ2021-09-28 21:00:00µ2021-10-03 20:45:00µ2021-10-16 20:45:00µ2021-10-19 21:00:00µ2021-10-23 20:45:00µ2021-10-26 20:45:00µ2021-10-31 20:45:00µ2021-11-03 18:45:00µ2021-11-07 20:45:00µ2021-11-20 20:45:00µ2021-11-24 21:00:00µ2021-11-28 15:00:00µ2021-12-01 20:45:00µ2021-12-04 15:00:00µ2021-12-07 21:00:00µ2021-12-11 20:45:00µ2021-12-19 20:45:00µ2021-12-22 20:45:00µ2022-01-06 18:30:00
20,15537,2022-01-09,14:00,2022,16,Ligue 1,Journée 20,2420,1799,Stade Brestois,Nice,Stade Brestois - Nice,0-3,0,3,2,1367.0,2347.0,60.0,78.0,2.0,36.0,1.15,1.96,7µ61µ0µ-13µ-11µ-38µ-10µ0µ-22µ30µ27µ0µ-16µ-49µ20µ11µ-8µ-16µ-8µ22µ30µ90µ54µ79µ57µ53µ60µ-7µ-24µ-16µ86,2019-10-30 21:05:00µ2019-12-18 21:05:00µ2020-01-08 18:45:00µ2021-07-10 16:00:00µ2021-07-17 17:00:00µ2021-07-21 19:00:00µ2021-07-24 11:00:00µ2021-07-28 19:00:00µ2021-08-01 18:30:00µ2021-08-07 17:00:00µ2021-08-15 15:00:00µ2021-08-20 21:00:00µ2021-08-29 15:00:00µ2021-09-03 15:00:00µ2021-09-12 15:00:00µ2021-09-19 15:00:00µ2021-09-22 19:00:00µ2021-09-26 15:00:00µ2021-10-02 21:00:00µ2021-10-17 15:00:00µ2021-10-23 21:00:00µ2021-10-31 17:00:00µ2021-11-07 15:00:00µ2021-11-21 13:00:00µ2021-11-28 15:00:00µ2021-12-01 19:00:00µ2021-12-04 17:00:00µ2021-12-11 17:00:00µ2021-12-19 18:20:00µ2021-12-22 21:00:00µ2022-01-02 13:45:00,-42µ-19µ-67µ-38µ23µ-26µ19µ-14µ110µ83µ62µ29µ-29µ83µ5µ-58µ60µ27µ33µ-25µ4µ-52µ30µ-69µ52µ0µ10,2019-10-30 18:45:00µ2021-07-03 18:00:00µ2021-07-10 10:00:00µ2021-07-16 19:00:00µ2021-07-17 20:00:00µ2021-07-24 16:00:00µ2021-07-31 20:30:00µ2021-08-08 15:00:00µ2021-08-14 17:00:00µ2021-08-28 17:00:00µ2021-09-12 17:00:00µ2021-09-19 13:00:00µ2021-09-22 21:00:00µ2021-09-25 17:00:00µ2021-10-02 21:00:00µ2021-10-17 13:00:00µ2021-10-24 13:00:00µ2021-10-27 21:00:00µ2021-10-31 13:00:00µ2021-11-07 17:00:00µ2021-11-21 17:00:00µ2021-11-27 21:00:00µ2021-12-01 21:00:00µ2021-12-05 17:00:00µ2021-12-12 15:00:00µ2021-12-19 18:20:00µ2021-12-22 21:00:00
38,49995,2022-01-09,15:00,2022,37,Süper Lig,Journée 20,1452,12887,Kayserispor,Altay,Kayserispor - Altay,1-0,1,0,0,1686.0,334.0,66.0,27.0,30.0,51.0,3.35,0.92,-37µ-19µ66µ-62µ-3µ36µ22µ-31µ65µ-13µ-1µ8µ-17µ-9µ0µ2µ19µ8µ-9µ-18µ1µ19µ0µ-11µ-10µ46µ0,2021-07-17 15:00:00µ2021-07-27 16:30:00µ2021-07-31 18:00:00µ2021-08-14 20:45:00µ2021-08-20 19:30:00µ2021-08-28 18:15:00µ2021-09-11 19:00:00µ2021-09-19 18:00:00µ2021-09-22 19:00:00µ2021-09-26 12:30:00µ2021-10-02 15:00:00µ2021-10-12 15:00:00µ2021-10-18 19:00:00µ2021-10-23 15:00:00µ2021-10-27 19:45:00µ2021-10-31 11:30:00µ2021-11-07 17:00:00µ2021-11-14 14:00:00µ2021-11-22 18:00:00µ2021-11-27 14:00:00µ2021-12-01 17:00:00µ2021-12-05 11:30:00µ2021-12-12 17:00:00µ2021-12-19 14:00:00µ2021-12-23 15:00:00µ2021-12-27 18:00:00µ2021-12-30 13:00:00,7µ9µ9µ49µ37µ-29µ60µ65µ0µ-1µ33µ35µ37µ-10µ-18µ-3µ1µ18µ-2µ-12µ19µ3µ19µ-7µ-22µ0µ-4µ0,2021-05-17 19:00:00µ2021-05-22 17:00:00µ2021-05-26 19:00:00µ2021-07-28 16:00:00µ2021-08-03 16:00:00µ2021-08-06 14:00:00µ2021-08-14 20:45:00µ2021-08-21 20:45:00µ2021-08-29 20:45:00µ2021-09-11 16:00:00µ2021-09-17 19:00:00µ2021-09-21 16:00:00µ2021-09-24 19:00:00µ2021-10-03 15:00:00µ2021-10-17 15:00:00µ2021-10-22 19:00:00µ2021-10-26 14:30:00µ2021-10-30 15:00:00µ2021-11-06 14:00:00µ2021-11-21 14:00:00µ2021-11-26 18:00:00µ2021-11-30 13:00:00µ2021-12-04 17:00:00µ2021-12-10 18:00:00µ2021-12-17 18:00:00µ2021-12-21 18:00:00µ2021-12-25 11:30:00µ2021-12-30 19:00:00
37,49991,2022-01-09,15:00,2022,37,Süper Lig,Journée 20,1248,226,Göztepe,Antalyaspor,Göztepe - Antalyaspor,4-0,4,0,0,953.0,1561.0,50.0,63.0,-20.0,-30.0,0.91,0.88,-18µ0µ0µ1µ5µ-26µ16µ35µ-35µ-50µ0µ-34µ18µ-1µ12µ-10µ-37µ4µ18µ0µ12µ-19µ-33µ0µ-10µ20,2021-07-25 16:00:00µ2021-08-01 16:00:00µ2021-08-05 17:00:00µ2021-08-07 20:45:00µ2021-08-15 20:45:00µ2021-08-22 20:45:00µ2021-08-29 18:15:00µ2021-09-12 19:00:00µ2021-09-17 19:00:00µ2021-09-22 19:00:00µ2021-09-26 18:00:00µ2021-10-02 15:00:00µ2021-10-17 12:30:00µ2021-10-23 18:00:00µ2021-10-31 14:00:00µ2021-11-07 11:30:00µ2021-11-13 17:00:00µ2021-11-22 18:00:00µ2021-11-29 18:00:00µ2021-12-02 15:00:00µ2021-12-06 18:00:00µ2021-12-11 14:00:00µ2021-12-19 14:00:00µ2021-12-23 18:00:00µ2021-12-26 14:00:00µ2021-12-29 16:30:00,-38µ4µ0µ0µ-19µ-11µ-38µ-9µ0µ13µ13µ-38µ-1µ-17µ9µ-24µ13µ-4µ0µ2µ1µ-18µ-42µ45µ0µ-27µ36µ-5µ-9µ0µ0µ16,2021-07-15 15:00:00µ2021-07-18 15:00:00µ2021-07-23 18:00:00µ2021-07-25 18:00:00µ2021-07-28 16:30:00µ2021-08-01 16:00:00µ2021-08-03 16:00:00µ2021-08-15 20:45:00µ2021-08-22 20:45:00µ2021-08-27 19:30:00µ2021-09-04 18:00:00µ2021-09-13 19:00:00µ2021-09-18 18:00:00µ2021-09-21 16:00:00µ2021-09-25 15:00:00µ2021-10-01 19:00:00µ2021-10-16 15:00:00µ2021-10-24 15:00:00µ2021-10-28 17:00:00µ2021-11-01 18:00:00µ2021-11-06 14:00:00µ2021-11-13 15:30:00µ2021-11-20 11:30:00µ2021-11-27 11:30:00µ2021-11-30 19:00:00µ2021-12-05 11:30:00µ2021-12-11 17:00:00µ2021-12-18 14:00:00µ2021-12-21 15:00:00µ2021-12-25 14:00:00µ2021-12-28 15:00:00µ2022-01-05 18:45:00
13,21402,2022-01-09,15:00,2022,2,Segunda División,Journée 23,1236,1179,Girona,Fuenlabrada,Girona - Fuenlabrada,2-1,2,1,0,1386.0,589.0,60.0,40.0,0.0,-22.0,2.06,0.73,3µ4µ-12µ7µ-41µ0µ0µ0µ-38µ0µ0µ-13µ-39µ-35µ-50µ8µ-18µ-35µ-39µ-56µ1µ-17µ2µ2µ-35µ1µ1µ-38µ0µ12µ-19µ17µ0µ11µ58,2019-03-06 18:50:00µ2021-06-02 21:00:00µ2021-06-05 21:00:00µ2021-06-13 21:00:00µ2021-06-20 21:00:00µ2021-07-24 19:00:00µ2021-07-28 18:30:00µ2021-08-01 20:15:00µ2021-08-07 20:00:00µ2021-08-08 19:00:00µ2021-08-14 19:30:00µ2021-08-22 19:30:00µ2021-08-28 22:00:00µ2021-09-03 21:00:00µ2021-09-12 21:30:00µ2021-09-18 20:30:00µ2021-09-26 18:15:00µ2021-10-04 21:00:00µ2021-10-09 16:00:00µ2021-10-16 16:00:00µ2021-10-21 21:00:00µ2021-10-25 21:00:00µ2021-10-31 14:00:00µ2021-11-04 19:00:00µ2021-11-08 21:00:00µ2021-11-14 16:00:00µ2021-11-22 19:00:00µ2021-11-29 21:00:00µ2021-12-02 20:00:00µ2021-12-06 21:00:00µ2021-12-11 16:00:00µ2021-12-14 20:00:00µ2021-12-17 21:00:00µ2022-01-02 18:15:00µ2022-01-06 16:00:00,0µ27µ11µ0µ53µ5µ-15µ37µ-2µ-15µ3µ6µ7µ-9µ31µ-2µ-19µ-47µ-4µ-4µ12µ-1µ-10µ13µ1µ11µ-53µ-4µ-4µ-35µ-9,2021-07-11 18:30:00µ2021-07-17 10:00:00µ2021-07-22 19:00:00µ2021-07-30 20:00:00µ2021-08-04 19:00:00µ2021-08-07 20:00:00µ2021-08-15 22:00:00µ2021-08-21 22:00:00µ2021-08-29 19:30:00µ2021-09-04 21:00:00µ2021-09-12 20:30:00µ2021-09-19 14:00:00µ2021-09-27 21:00:00µ2021-10-03 16:00:00µ2021-10-10 18:15:00µ2021-10-17 21:00:00µ2021-10-20 19:00:00µ2021-10-23 16:00:00µ2021-10-31 14:00:00µ2021-11-03 21:15:00µ2021-11-06 21:00:00µ2021-11-13 16:00:00µ2021-11-19 21:00:00µ2021-11-27 18:15:00µ2021-12-01 20:00:00µ2021-12-04 18:15:00µ2021-12-11 16:00:00µ2021-12-14 19:00:00µ2021-12-19 14:00:00µ2022-01-02 21:00:00µ2022-01-06 16:00:00
0,20978,2022-01-09,15:00,2022,1,Liga Santander,Journée 20,2080,486,Rayo Vallecano,Real Betis,Rayo Vallecano - Real Betis,1-1,1,1,1,1694.0,2239.0,66.0,76.0,29.0,50.0,1.58,1.87,27µ20µ-11µ37µ19µ17µ8µ19µ-4µ1µ0µ0µ130µ1µ33µ130µ78µ80µ-6µ0µ43µ0µ79µ38µ0µ1µ70µ39µ-32µ52µ0µ0µ90µ0µ4,2021-06-03 21:00:00µ2021-06-06 21:00:00µ2021-06-13 21:00:00µ2021-06-20 21:00:00µ2021-07-18 20:00:00µ2021-07-21 19:00:00µ2021-07-24 10:00:00µ2021-07-31 10:00:00µ2021-08-04 20:00:00µ2021-08-07 19:00:00µ2021-08-15 22:15:00µ2021-08-22 17:00:00µ2021-08-29 19:30:00µ2021-09-01 11:30:00µ2021-09-11 18:30:00µ2021-09-18 14:00:00µ2021-09-21 22:00:00µ2021-09-26 18:30:00µ2021-10-02 14:00:00µ2021-10-06 00:00:00µ2021-10-17 14:00:00µ2021-10-24 18:30:00µ2021-10-27 19:00:00µ2021-11-01 18:30:00µ2021-11-06 21:00:00µ2021-11-10 12:00:00µ2021-11-22 21:00:00µ2021-11-27 16:15:00µ2021-12-02 19:00:00µ2021-12-05 14:00:00µ2021-12-12 14:00:00µ2021-12-15 19:00:00µ2021-12-18 14:00:00µ2022-01-02 16:15:00µ2022-01-05 20:00:00,0µ-34µ-38µ3µ-38µ57µ-35µ-39µ0µ15µ7µ-33µ24µ23µ2µ-24µ3µ1µ0µ84µ-2µ-43µ-10µ1µ1µ6µ0µ79µ-53µ99µ0µ-34µ-22µ2,2021-07-17 15:00:00µ2021-07-24 19:00:00µ2021-07-28 20:00:00µ2021-07-31 13:30:00µ2021-08-04 19:00:00µ2021-08-07 22:00:00µ2021-08-14 19:30:00µ2021-08-20 21:00:00µ2021-08-28 22:00:00µ2021-09-13 22:00:00µ2021-09-16 18:45:00µ2021-09-19 18:30:00µ2021-09-23 19:30:00µ2021-09-26 21:00:00µ2021-09-30 21:00:00µ2021-10-03 18:30:00µ2021-10-18 19:00:00µ2021-10-21 18:45:00µ2021-10-24 18:30:00µ2021-10-27 20:00:00µ2021-10-31 16:15:00µ2021-11-04 21:00:00µ2021-11-07 21:00:00µ2021-11-21 18:30:00µ2021-11-25 18:45:00µ2021-11-28 14:00:00µ2021-12-01 21:00:00µ2021-12-04 16:15:00µ2021-12-09 21:00:00µ2021-12-12 18:30:00µ2021-12-16 19:00:00µ2021-12-19 16:15:00µ2022-01-02 18:30:00µ2022-01-05 20:00:00
