index,id,date,time,year_compet,id_compet,name_compet,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict
11,368141,2022-02-08,01:30,2022,1780,Liga Única,Journée 1,4388,9950,Curicó Unido,Huachipato,Curicó Unido - Huachipato,4-0,4,0,0,55.0,70.0,-15.0,1167.0,1925.0,-39.4,-13.0,6.0,-19.0,28.2,26.9,44.8,1.04,1.39,-0.34999999999999987
5,305416,2022-02-08,05:05,2022,141,Liga MX - Clôture ,Journée 4,10271,705,León,Cruz Azul,León - Cruz Azul,0-1,0,1,2,73.0,73.0,0.0,2047.0,2078.0,-1.5,-2.0,-21.0,19.0,51.4,27.7,20.8,1.38,0.77,0.6099999999999999
16,282377,2022-02-08,11:05,2022,54,A-League,Journée 7,1795,18574,Newcastle Jets,Melbourne City,Newcastle Jets - Melbourne City,2-4,2,4,2,18.0,35.0,-17.0,248.0,468.0,-47.0,-17.0,63.0,-80.0,21.4,22.8,55.7,1.04,1.83,-0.79
13,63334,2022-02-08,15:00,2022,20,Liga 1,Journée 25,57428,1206,Sepsi,Gaz Metan,Sepsi - Gaz Metan,2-0,2,0,0,38.0,51.0,-13.0,534.0,1000.0,-46.6,-6.0,-16.0,10.0,38.0,29.1,32.9,1.15,1.05,0.09999999999999987
14,63332,2022-02-08,17:30,2022,20,Liga 1,Journée 25,742,7556,CFR Cluj,UTA Arad,CFR Cluj - UTA Arad,0-0,0,0,1,67.0,44.0,23.0,1771.0,738.0,-58.3,-14.0,-22.0,8.0,70.2,19.5,10.3,1.99,0.61,1.38
12,16416,2022-02-08,19:30,2022,93,2. Liga,Journée 20,1443,2446,Karlsruher SC,Sandhausen,Karlsruher SC - Sandhausen,0-2,0,2,2,55.0,47.0,8.0,1150.0,825.0,-28.3,22.0,34.0,-12.0,53.9,21.5,24.6,2.02,1.31,0.71
15,63336,2022-02-08,19:55,2022,20,Liga 1,Journée 25,8981,2801,Voluntari,FC Rapid Bucuresti,Voluntari - FC Rapid Bucuresti,0-0,0,0,1,53.0,43.0,10.0,1076.0,698.0,-35.1,16.0,13.0,3.0,59.7,21.2,19.1,2.01,1.05,0.9599999999999997
10,13226,2022-02-08,21:45,2022,25,Championship,Journée 31,2429,2453,Stoke City,Swansea City,Stoke City - Swansea City,3-0,3,0,0,78.0,76.0,2.0,2369.0,2207.0,-6.8,-19.0,-21.0,2.0,49.1,29.9,20.9,1.24,0.7,0.54
9,13225,2022-02-08,21:45,2022,25,Championship,Journée 31,1600,436,Luton Town,Barnsley,Luton Town - Barnsley,2-1,2,1,0,34.0,49.0,-15.0,454.0,924.0,-50.9,23.0,0.0,23.0,43.2,25.3,31.5,1.51,1.25,0.26
0,5580,2022-02-08,21:45,2022,10,Premier League,Journée 24,2804,2743,West Ham,Watford,West Ham - Watford,1-0,1,0,0,79.0,70.0,9.0,2381.0,1913.0,-19.7,11.0,-5.0,16.0,62.5,21.5,16.0,1.93,0.86,1.0699999999999998
6,13222,2022-02-08,21:45,2022,25,Championship,Journée 31,9189,508,Coventry City,Blackpool,Coventry City - Blackpool,1-1,1,1,1,43.0,37.0,6.0,697.0,519.0,-25.5,41.0,64.0,-23.0,53.9,20.2,25.9,2.24,1.52,0.7200000000000002
1,5582,2022-02-08,21:45,2022,10,Premier League,Journée 24,1796,1017,Newcastle,Everton,Newcastle - Everton,3-1,3,1,0,68.0,83.0,-15.0,1820.0,2645.0,-31.2,6.0,-19.0,25.0,36.5,27.7,35.8,1.21,1.19,0.020000000000000018
7,13223,2022-02-08,21:45,2022,25,Championship,Journée 31,916,1341,Derby County,Hull City,Derby County - Hull City,3-1,3,1,0,61.0,69.0,-8.0,1443.0,1862.0,-22.5,1.0,-14.0,15.0,41.3,28.6,30.1,1.23,1.01,0.21999999999999997
8,13224,2022-02-08,21:45,2022,25,Championship,Journée 31,1183,1694,Fulham,Millwall,Fulham - Millwall,3-0,3,0,0,61.0,45.0,16.0,1427.0,774.0,-45.8,21.0,-8.0,29.0,71.0,17.4,11.6,2.32,0.82,1.5
4,371164,2022-02-08,22:00,2022,325,Coupe de France,1/4 de finale,1713,209,Monaco,Amiens SC,Monaco - Amiens SC,2-0,2,0,0,86.0,53.0,33.0,2897.0,1075.0,-62.9,-5.0,66.0,-71.0,73.2,15.0,11.8,2.78,1.06,1.7199999999999998
3,346826,2022-02-08,22:00,2022,296,Coppa Italia,1/4 de finale,1381,2176,Inter,Roma,Inter - Roma,2-0,2,0,0,85.0,88.0,-3.0,2760.0,2997.0,-7.9,28.0,25.0,3.0,49.5,23.0,27.5,1.81,1.3,0.51
2,5578,2022-02-08,22:00,2022,10,Premier League,Journée 24,569,1635,Burnley,Man. Utd,Burnley - Man. Utd,1-1,1,1,1,68.0,92.0,-24.0,1777.0,3296.0,-46.1,-38.0,9.0,-47.0,8.2,16.4,75.4,0.6,2.27,-1.67
