index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict
34,351133,2022-04-22,01:00,2022,43,Serie A Équateur,13.800,Fase 1,140902,980,Cumbayá,CS Emelec,Cumbayá - CS Emelec,,,,,30.0,49.0,-19.0,391.0,902.0,-56.7,-1.0,30.0,-31.0,28.5,24.5,47.0,1.21,1.63,-0.41999999999999993
1,305516,2022-04-22,04:00,2022,141,Liga MX - Clôture ,54.926,Journée 15,4346,705,Querétaro,Cruz Azul,Querétaro - Cruz Azul,,,,,67.0,71.0,-4.0,1765.0,1936.0,-8.8,-31.0,-5.0,-26.0,33.9,31.3,34.7,0.97,0.98,-0.010000000000000009
35,282485,2022-04-22,11:45,2022,54,A-League,12.500,Journée 25,137995,1671,Macarthur FC,Melbourne Victory,Macarthur FC - Melbourne Victory,,,,,50.0,42.0,8.0,969.0,659.0,-32.0,-10.0,54.0,-64.0,39.3,25.3,35.4,1.44,1.35,0.08999999999999986
22,454630,2022-04-22,14:15,2022,205,A PFG,22.050,Grupo Conference League,86651,102466,Arda Kardzhali,CSKA 1948 Sofia,Arda Kardzhali - CSKA 1948 Sofia,,,,,37.0,37.0,0.0,525.0,525.0,0.0,17.0,-3.0,20.0,51.5,25.0,23.5,1.61,1.0,0.6100000000000001
26,398728,2022-04-22,15:00,2022,186,Premier League Belarus,19.792,Journée 5,5858,5855,Belshina Bobruisk,Vitebsk,Belshina Bobruisk - Vitebsk,,,,,53.0,48.0,5.0,1079.0,891.0,-17.4,69.0,-8.0,77.0,76.5,14.3,9.3,2.73,0.86,1.87
17,417907,2022-04-22,16:30,2022,20,Liga 1,28.125,Ronda Descenso,1037,1697,FC Academica Clinceni,Mioveni,FC Academica Clinceni - Mioveni,,,,,42.0,54.0,-12.0,665.0,1133.0,-41.3,-26.0,-37.0,11.0,36.9,33.6,29.5,0.93,0.8,0.13
36,290668,2022-04-22,16:45,2022,311,Ligue 1 algérienne,11.985,Journée 27,16532,18071,Olympique Médéa,RC Relizane,Olympique Médéa - RC Relizane,,,,,22.0,26.0,-4.0,290.0,326.0,-11.0,-18.0,-21.0,3.0,43.6,30.5,25.9,1.16,0.82,0.33999999999999997
24,383694,2022-04-22,17:00,2022,31,Veikkausliiga,19.864,Journée 4,1281,12626,FC Haka,HIFK,FC Haka - HIFK,,,,,44.0,44.0,0.0,737.0,730.0,-0.9,-17.0,37.0,-54.0,32.4,26.5,41.1,1.19,1.37,-0.18000000000000016
25,383695,2022-04-22,17:00,2022,31,Veikkausliiga,19.864,Journée 4,1079,1474,FC Lahti,KuPS,FC Lahti - KuPS,,,,,55.0,52.0,3.0,1161.0,1050.0,-9.6,-4.0,52.0,-56.0,38.3,24.4,37.3,1.5,1.47,0.030000000000000027
27,398723,2022-04-22,17:00,2022,186,Premier League Belarus,19.792,Journée 5,5857,5775,Neman Grodno,Shakhtyor Soligorsk,Neman Grodno - Shakhtyor Soligorsk,,,,,50.0,61.0,-11.0,945.0,1423.0,-33.6,24.0,34.0,-10.0,32.5,23.5,44.0,1.43,1.7,-0.27
19,8089,2022-04-22,18:00,2022,128,Ekstraklasa,24.412,Journée 30,13380,1703,Radomiak Radom,KS Cracovia,Radomiak Radom - KS Cracovia,,,,,21.0,50.0,-29.0,277.0,970.0,-71.4,23.0,-22.0,45.0,47.4,26.3,26.3,1.46,1.02,0.43999999999999995
