index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict
127,438862,2022-04-28,00:00,2022,561,Mineiro 2,4.949,Journée 1,89931,59787,Coimbra Esporte Clube,Nacional AC MG,Coimbra Esporte Clube - Nacional AC MG,,,,,,,,,,,,,,,,,,,
24,382226,2022-04-28,00:00,2022,188,Serie B Brésil,23.092,Journée 4,17234,1256,Operário PR,Grêmio,Operário PR - Grêmio,,,,,36.0,62.0,-26.0,500.0,1500.0,-66.7,25.0,-32.0,57.0,39.2,27.5,33.3,1.27,1.14,0.13000000000000012
23,382222,2022-04-28,00:00,2022,188,Serie B Brésil,23.092,Journée 4,15135,1780,CRB,Náutico,CRB - Náutico,,,,,48.0,54.0,-6.0,886.0,1109.0,-20.1,-16.0,12.0,-28.0,30.8,28.0,41.2,1.05,1.27,-0.21999999999999997
128,438864,2022-04-28,00:00,2022,561,Mineiro 2,4.949,Journée 1,150923,63679,Varginha,Uberaba SC,Varginha - Uberaba SC,,,,,,,,,,,,,,,,,,,
38,456718,2022-04-28,00:00,2022,65,Botola Maroc Télécom ,15.000,Journée 21,1841,11217,Olympique Khouribga,RSB Berkane,Olympique Khouribga - RSB Berkane,,,,,42.0,36.0,6.0,669.0,483.0,-27.8,-26.0,-20.0,-6.0,46.0,30.6,23.4,1.18,0.75,0.42999999999999994
5,438635,2022-04-28,00:00,2022,204,Copa Libertadores,56.250,Grupo D,5639,900,América Mineiro,Deportes Tolima,América Mineiro - Deportes Tolima,,,,,62.0,72.0,-10.0,1504.0,2000.0,-24.8,-15.0,24.0,-39.0,26.2,26.1,47.7,1.03,1.48,-0.44999999999999996
6,438659,2022-04-28,00:00,2022,204,Copa Libertadores,56.250,Grupo D,1163,172,Fortaleza EC,Alianza Lima,Fortaleza EC - Alianza Lima,,,,,51.0,37.0,14.0,1000.0,515.0,-48.5,45.0,27.0,18.0,68.4,16.7,15.0,2.63,1.18,1.45
14,439852,2022-04-28,00:15,2022,304,Copa Sudamericana,46.875,Grupo B,100529,62917,Guaireña,9 de Octubre,Guaireña - 9 de Octubre,,,,,23.0,26.0,-3.0,300.0,320.0,-6.2,-34.0,39.0,-73.0,25.0,27.5,47.5,0.91,1.37,-0.4600000000000001
12,439815,2022-04-28,00:15,2022,304,Copa Sudamericana,46.875,Grupo B,1032,2053,FBC Melgar,Racing Club,FBC Melgar - Racing Club,,,,,32.0,79.0,-47.0,422.0,2408.0,-82.5,2.0,14.0,-12.0,8.7,14.2,77.1,0.8,2.67,-1.8699999999999999
13,439816,2022-04-28,00:15,2022,304,Copa Sudamericana,46.875,Grupo B,15137,2167,Cuiabá,River Plate Montevideo,Cuiabá - River Plate Montevideo,,,,,51.0,62.0,-11.0,1000.0,1514.0,-33.9,47.0,5.0,42.0,49.6,22.8,27.7,1.84,1.33,0.51
