index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,country,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict,local_string_form,visitor_string_form
5,438660,2022-05-06,00:00,2022,204,Copa Libertadores,58.333,Grupo F,n2,1163,593,Fortaleza EC,River Plate,Fortaleza EC - River Plate,,,,,51.0,82.0,-31.0,1000.0,2592.0,-61.4,39.0,16.0,23.0,19.3,18.6,62.0,1.3,2.41,-1.11,llw,www
9,318466,2022-05-06,00:00,2022,42,Ouverture - Colombie,49.500,Temporada Regular,co,5938,11324,Unión Magdalena,La Equidad,Unión Magdalena - La Equidad,,,,,49.0,65.0,-16.0,901.0,1670.0,-46.0,7.0,1.0,6.0,31.7,25.4,42.9,1.24,1.49,-0.25,lldll,dlwwd
6,438625,2022-05-06,02:00,2022,204,Copa Libertadores,58.333,Grupo F,n2,5544,600,RB Bragantino,Vélez Sarsfield,RB Bragantino - Vélez Sarsfield,,,,,54.0,77.0,-23.0,1115.0,2299.0,-51.5,35.0,-48.0,83.0,49.6,26.9,23.5,1.43,0.89,0.5399999999999999,wdl,ldl
7,438661,2022-05-06,04:00,2022,204,Copa Libertadores,58.333,Grupo F,n2,172,9952,Alianza Lima,Colo-Colo,Alianza Lima - Colo-Colo,,,,,37.0,77.0,-40.0,514.0,2308.0,-77.7,19.0,39.0,-20.0,5.5,9.2,85.3,0.9,3.54,-2.64,lll,wwl
30,352807,2022-05-06,12:00,2022,58,Championnat J1,27.022,Journée 12,jp,723,1423,Cerezo Osaka,Júbilo Iwata,Cerezo Osaka - Júbilo Iwata,,,,,57.0,40.0,17.0,1239.0,608.0,-50.9,-36.0,50.0,-86.0,36.5,26.9,36.6,1.26,1.26,0.0,lwdld,dddwl
46,393153,2022-05-06,12:00,2022,371,Virsliga Lettonie,13.993,Journée 11,lv,13254,64832,Auda,Super Nova,Auda - Super Nova,,,,,33.0,36.0,-3.0,441.0,484.0,-8.9,94.0,9.0,85.0,71.4,15.8,12.8,2.69,1.08,1.6099999999999999,,
34,454618,2022-05-06,14:00,2022,205,A PFG,24.150,Ronda Campeonato,bg,6371,6474,Botev Plovdiv,Ludogorets,Botev Plovdiv - Ludogorets,,,,,54.0,64.0,-10.0,1102.0,1575.0,-30.0,17.0,21.0,-4.0,33.5,24.8,41.6,1.34,1.52,-0.17999999999999994,wlwwl,dwwww
35,454619,2022-05-06,16:30,2022,205,A PFG,24.150,Ronda Campeonato,bg,4058,4011,Cherno More Varna,Levski Sofia,Cherno More Varna - Levski Sofia,,,,,57.0,64.0,-7.0,1259.0,1575.0,-20.1,-6.0,7.0,-13.0,35.5,28.2,36.3,1.15,1.17,-0.020000000000000018,wwlld,wwwdw
28,417916,2022-05-06,16:30,2022,20,Liga 1,30.000,Ronda Descenso,ro,1206,1037,Gaz Metan,FC Academica Clinceni,Gaz Metan - FC Academica Clinceni,,,,,52.0,42.0,10.0,1017.0,652.0,-35.9,-47.0,-44.0,-3.0,42.5,37.4,20.1,0.88,0.51,0.37,lllll,lllll
27,474690,2022-05-06,17:00,2022,30,Championnat de République tchèque ,31.050,Finale,cz,2348,10056,Sigma Olomouc,Mladá Boleslav,Sigma Olomouc - Mladá Boleslav,,,,,50.0,62.0,-12.0,940.0,1480.0,-36.5,1.0,3.0,-2.0,35.1,26.8,38.1,1.23,1.29,-0.06000000000000005,,
11,6692,2022-05-06,17:00,2022,27,Premier League Russie,44.400,Journée 28,ru,1467,926,Krylia Sovetov,Dinamo Moskva,Krylia Sovetov - Dinamo Moskva,,,,,62.0,60.0,2.0,1494.0,1366.0,-8.6,20.0,83.0,-63.0,40.6,22.1,37.3,1.82,1.74,0.08000000000000007,lwwll,wwwll
47,393154,2022-05-06,17:00,2022,371,Virsliga Lettonie,13.993,Journée 11,lv,62999,62938,Riga FC,FK Liepāja,Riga FC - FK Liepāja,,,,,40.0,50.0,-10.0,609.0,950.0,-35.9,27.0,60.0,-33.0,35.0,22.6,42.4,1.6,1.78,-0.17999999999999994,wwwll,dwllw
50,290691,2022-05-06,17:00,2022,311,Ligue 1 algérienne,12.132,Journée 29,dz,121828,59336,RC Arbaâ,Paradou,RC Arbaâ - Paradou,,,,,19.0,21.0,-2.0,255.0,276.0,-7.6,-2.0,34.0,-36.0,37.8,25.9,36.3,1.36,1.33,0.030000000000000027,ddlwd,dlwwd
48,393155,2022-05-06,17:30,2022,371,Virsliga Lettonie,13.993,Journée 11,lv,13236,13211,FS Metta/LU,FK Tukums 2000,FS Metta/LU - FK Tukums 2000,,,,,32.0,33.0,-1.0,425.0,428.0,-0.7,21.0,44.0,-23.0,42.3,23.3,34.4,1.7,1.51,0.18999999999999995,lwlwl,lllll
49,461326,2022-05-06,18:00,2022,187,Première Division Chypre,12.500,Ronda Descenso,cy,1862,5435,Olympiakos Nicosia,PAEEK,Olympiakos Nicosia - PAEEK,,,,,31.0,16.0,15.0,406.0,224.0,-44.8,3.0,-12.0,15.0,56.7,24.6,18.7,1.64,0.82,0.82,wlwww,lllld
45,390089,2022-05-06,18:00,2022,143,Meistriliiga Estonie,14.083,Journée 12,ee,17796,4353,Vaprus Pärnu,Kuressaare,Vaprus Pärnu - Kuressaare,,,,,25.0,18.0,7.0,315.0,249.0,-21.0,-30.0,79.0,-109.0,20.7,23.6,55.7,0.96,1.74,-0.78,lllll,llwww
31,6463,2022-05-06,18:00,2022,100,Prva Liga Croatie,25.958,Journée 34,hr,11727,3700,Hrvatski Dragovoljac,NK Slaven Belupo,Hrvatski Dragovoljac - NK Slaven Belupo,,,,,40.0,50.0,-10.0,605.0,944.0,-35.9,-17.0,-7.0,-10.0,35.2,30.1,34.6,1.05,1.04,0.010000000000000009,ldlwl,llldw
32,8103,2022-05-06,18:00,2022,128,Ekstraklasa,24.706,Journée 32,pl,13380,3974,Radomiak Radom,Zaglebie Lubin,Radomiak Radom - Zaglebie Lubin,,,,,21.0,56.0,-35.0,279.0,1188.0,-76.5,13.0,-19.0,32.0,39.8,27.4,32.8,1.29,1.14,0.15000000000000013,ddlld,lwlld
15,96482,2022-05-06,18:15,2022,89,Serie B,37.500,Journée 38,it,1056,1927,Crotone,Parma,Crotone - Parma,,,,,65.0,40.0,25.0,1642.0,602.0,-63.3,-25.0,9.0,-34.0,58.0,23.6,18.4,1.72,0.85,0.87,dldwd,wllld
26,16526,2022-05-06,18:30,2022,93,2. Liga,34.173,Journée 33,de,4800,2446,Paderborn,Sandhausen,Paderborn - Sandhausen,,,,,42.0,48.0,-6.0,675.0,894.0,-24.5,32.0,49.0,-17.0,38.0,22.8,39.1,1.66,1.69,-0.030000000000000027,wdwwd,dwdwl
25,16521,2022-05-06,18:30,2022,93,2. Liga,34.173,Journée 33,de,1166,5664,Fortuna Düsseldorf,Darmstadt 98,Fortuna Düsseldorf - Darmstadt 98,,,,,55.0,60.0,-5.0,1152.0,1399.0,-17.7,29.0,63.0,-34.0,34.2,22.3,43.5,1.62,1.84,-0.21999999999999997,dwddw,wllww
53,456331,2022-05-06,18:30,2022,386,Super Liga,11.786,Ronda Campeonato,rs,80053,13493,Bačka Topola,Napredak Krusevac,Bačka Topola - Napredak Krusevac,,,,,18.0,37.0,-19.0,250.0,523.0,-52.2,22.0,-32.0,54.0,55.6,25.2,19.2,1.58,0.81,0.77,wwlld,wllll
1,49378,2022-05-06,18:45,2022,7,Serie A,74.211,Journée 36,it,1381,983,Inter,Empoli,Inter - Empoli,,,,,85.0,71.0,14.0,2814.0,1970.0,-30.0,14.0,17.0,-3.0,74.5,15.6,9.9,2.51,0.8,1.7099999999999997,wwwlw,ldlwl
51,290689,2022-05-06,18:45,2022,311,Ligue 1 algérienne,12.132,Journée 29,dz,11506,11502,JS Kabylie,CR Belouizdad,JS Kabylie - CR Belouizdad,,,,,44.0,42.0,2.0,734.0,648.0,-11.7,-14.0,23.0,-37.0,38.0,27.2,34.9,1.27,1.2,0.07000000000000006,dwwld,wwdwl
36,454620,2022-05-06,19:00,2022,205,A PFG,24.150,Ronda Campeonato,bg,4068,4565,CSKA Sofia,Slavia Sofia,CSKA Sofia - Slavia Sofia,,,,,49.0,55.0,-6.0,913.0,1148.0,-20.5,-2.0,50.0,-52.0,27.8,23.9,48.3,1.23,1.7,-0.47,lwldl,lwlld
37,431543,2022-05-06,19:00,2022,13,Championnat du Danemark,23.500,Ronda Campeonato,dk,2339,9793,Silkeborg IF,Randers,Silkeborg IF - Randers,,,,,48.0,49.0,-1.0,892.0,904.0,-1.3,51.0,17.0,34.0,60.0,20.2,19.8,2.16,1.17,0.9900000000000002,wwwww,lllww
14,50153,2022-05-06,19:00,2022,37,Süper Lig,40.816,Journée 36,tr,12892,1452,Gaziantep BB,Kayserispor,Gaziantep BB - Kayserispor,,,,,48.0,66.0,-18.0,867.0,1706.0,-49.2,34.0,8.0,26.0,36.1,23.6,40.3,1.53,1.63,-0.09999999999999987,ldldl,lwddl
