index,id,date,time,year_compet,id_compet,name_compet,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_elo,visitor_elo,local_note,visitor_note,local_tilt,visitor_tilt,local_xG,visitor_xG,local_form_str,local_date_str,visitor_form_str,visitor_date_str
6,305386,2022-01-13,04:06,2022,141,Liga MX - Clôture ,Journée 1,10274,4348,Santos Laguna,Tigres UANL,Santos Laguna - Tigres UANL,1-1,1,1,1,2079.0,2359.0,73.0,78.0,4.0,-15.0,1.34,0.93,-30µ-18µ-54µ-5µ-18µ-26µ0µ8µ7µ-28µ3µ-11µ4µ25µ11µ6µ-30µ-13µ9µ-9µ-19µ0µ7µ8µ17µ3µ-3µ-20µ13µ3µ-38µ-9µ-18µ-17µ1µ-3µ-6µ-12µ3µ21µ-22µ0µ29µ-4,2018-08-01 04:00:00µ2018-08-08 02:00:00µ2018-08-16 02:00:00µ2018-08-30 02:00:00µ2019-07-31 02:00:00µ2019-08-08 02:00:00µ2019-10-23 04:00:00µ2019-11-07 04:00:00µ2020-01-23 04:00:00µ2020-01-30 02:00:00µ2020-02-12 02:00:00µ2020-02-20 02:00:00µ2021-05-09 04:15:00µ2021-05-14 04:05:00µ2021-05-17 01:00:00µ2021-05-21 04:00:00µ2021-05-24 02:00:00µ2021-05-28 04:00:00µ2021-05-31 03:15:00µ2021-07-05 02:30:00µ2021-07-11 17:00:00µ2021-07-17 04:00:00µ2021-07-24 02:00:00µ2021-08-02 01:00:00µ2021-08-08 04:00:00µ2021-08-13 01:00:00µ2021-08-16 02:06:00µ2021-08-19 02:00:00µ2021-08-22 02:00:00µ2021-08-30 01:00:00µ2021-09-11 04:06:00µ2021-09-15 04:00:00µ2021-09-20 04:06:00µ2021-09-27 02:06:00µ2021-10-03 02:06:00µ2021-10-17 02:05:00µ2021-10-20 02:05:00µ2021-10-25 02:06:00µ2021-10-31 00:01:00µ2021-11-05 02:00:00µ2021-11-08 02:06:00µ2021-11-21 02:00:00µ2021-11-26 04:05:00µ2021-11-29 01:00:00,-36µ-18µ0µ0µ1µ-15µ-1µ7µ-3µ-3µ-36µ-17µ-25µ0µ1µ-64µ-19µ-33µ-21µ0µ0µ-22µ-11µ-47µ-21µ0µ-22µ4µ-7µ5µ-22µ4µ1µ0µ-32µ3µ6µ-26,2018-07-25 02:00:00µ2018-08-09 02:00:00µ2018-08-16 04:00:00µ2018-08-30 02:00:00µ2018-09-27 02:00:00µ2018-10-04 02:00:00µ2020-07-04 02:00:00µ2020-07-09 04:00:00µ2020-07-13 01:00:00µ2020-07-16 04:00:00µ2021-05-09 02:00:00µ2021-07-08 02:30:00µ2021-07-10 21:00:00µ2021-07-14 03:00:00µ2021-07-26 04:06:00µ2021-08-01 19:00:00µ2021-08-08 04:00:00µ2021-08-11 04:00:00µ2021-08-14 02:00:00µ2021-08-18 02:00:00µ2021-08-21 04:00:00µ2021-08-29 02:00:00µ2021-09-12 02:00:00µ2021-09-20 02:06:00µ2021-09-26 02:00:00µ2021-09-30 00:01:00µ2021-10-04 02:00:00µ2021-10-10 03:00:00µ2021-10-17 04:00:00µ2021-10-21 04:00:00µ2021-10-24 02:00:00µ2021-10-31 03:10:00µ2021-11-07 04:00:00µ2021-11-13 00:00:00µ2021-11-26 04:05:00µ2021-11-29 01:00:00µ2021-12-02 04:00:00µ2021-12-05 04:00:00
2,433399,2022-01-13,18:00,2021,138,CAN,Grupo A,3779,9156,Cameroun,Éthiopie,Cameroun - Éthiopie,,,,,1905.0,374.0,70.0,29.0,-5.0,17.0,2.57,0.73,-18µ7µ0µ-6µ0µ0µ0µ0µ-3µ-4µ0µ-7µ-11µ-20µ-7µ0µ-5µ0µ0µ0µ18µ1,2017-06-18 20:00:00µ2017-06-22 17:00:00µ2017-06-25 17:00:00µ2019-11-13 17:00:00µ2019-11-17 17:00:00µ2020-11-12 17:00:00µ2020-11-16 17:00:00µ2021-01-16 17:00:00µ2021-01-20 17:00:00µ2021-01-24 20:00:00µ2021-01-30 20:00:00µ2021-02-03 20:00:00µ2021-02-06 20:00:00µ2021-03-26 17:00:00µ2021-03-30 21:00:00µ2021-09-03 21:00:00µ2021-09-06 21:00:00µ2021-10-08 18:00:00µ2021-10-11 15:00:00µ2021-11-13 14:00:00µ2021-11-16 20:00:00µ2022-01-09 17:00:00,1µ0µ-9µ-6µ-4µ1µ0µ13µ-1µ21µ24µ0µ14µ33µ0µ25µ0µ0µ13µ12µ18µ-1,2019-07-26 17:30:00µ2019-08-04 15:00:00µ2019-09-04 15:00:00µ2019-09-08 15:00:00µ2019-09-22 15:00:00µ2019-10-19 15:00:00µ2019-11-16 14:00:00µ2019-11-19 14:00:00µ2020-11-13 17:00:00µ2020-11-17 14:00:00µ2021-03-24 14:00:00µ2021-03-30 15:00:00µ2021-08-26 14:00:00µ2021-08-29 13:00:00µ2021-09-03 21:00:00µ2021-09-07 15:00:00µ2021-10-09 15:00:00µ2021-10-12 18:00:00µ2021-11-11 14:00:00µ2021-11-14 14:00:00µ2021-12-30 15:30:00µ2022-01-09 20:00:00
4,307139,2022-01-13,19:00,2022,296,Coppa Italia,1/8 de finale,1777,1142,Napoli,Fiorentina,Napoli - Fiorentina,,,,,3018.0,2876.0,88.0,86.0,2.0,-3.0,1.64,0.86,0µ0µ64µ0µ0µ0µ0µ0µ-72µ47µ-31µ0µ0µ0µ-67µ1µ0µ0µ-22µ0µ0µ0µ-34µ-31µ-67µ6µ-34µ-62µ2µ-68µ15µ-68µ30µ0,2021-07-18 17:30:00µ2021-07-24 17:30:00µ2021-07-31 16:30:00µ2021-08-04 18:00:00µ2021-08-08 17:30:00µ2021-08-14 17:30:00µ2021-08-22 20:45:00µ2021-08-29 18:30:00µ2021-09-06 21:00:00µ2021-09-11 18:00:00µ2021-09-16 21:00:00µ2021-09-20 20:45:00µ2021-09-23 18:30:00µ2021-09-26 20:45:00µ2021-09-30 18:45:00µ2021-10-03 18:00:00µ2021-10-17 18:00:00µ2021-10-21 21:00:00µ2021-10-24 18:00:00µ2021-10-28 20:45:00µ2021-10-31 18:00:00µ2021-11-04 18:45:00µ2021-11-07 18:00:00µ2021-11-21 18:00:00µ2021-11-24 16:30:00µ2021-11-28 20:45:00µ2021-12-01 20:45:00µ2021-12-04 20:45:00µ2021-12-09 18:45:00µ2021-12-12 18:00:00µ2021-12-19 20:45:00µ2021-12-22 20:45:00µ2022-01-06 20:45:00µ2022-01-09 16:30:00,1µ-1µ-2µ0µ0µ0µ-19µ0µ-5µ8µ64µ9µ-1µ5µ-1µ-68µ6µ-9µ1µ0µ63µ-55µ11µ5µ0µ1µ-23µ-30µ-124,2019-07-17 03:00:00µ2019-07-21 00:01:00µ2019-07-25 02:00:00µ2021-07-25 17:00:00µ2021-07-29 17:00:00µ2021-07-30 17:00:00µ2021-08-07 19:00:00µ2021-08-13 21:00:00µ2021-08-22 20:45:00µ2021-08-28 20:45:00µ2021-09-11 20:45:00µ2021-09-18 15:00:00µ2021-09-21 20:45:00µ2021-09-26 15:00:00µ2021-10-03 18:00:00µ2021-10-18 20:45:00µ2021-10-24 15:00:00µ2021-10-27 20:45:00µ2021-10-31 15:00:00µ2021-11-06 18:00:00µ2021-11-20 20:45:00µ2021-11-27 15:00:00µ2021-11-30 18:30:00µ2021-12-05 12:30:00µ2021-12-11 15:00:00µ2021-12-15 21:00:00µ2021-12-19 12:30:00µ2021-12-22 18:30:00µ2022-01-10 17:00:00
7,35262,2022-01-13,20:00,2022,19,Liga NOS,Journée 16,7017,138403,Famalicão,Belenenses SAD,Famalicão - Belenenses SAD,,,,,1674.0,557.0,66.0,39.0,-17.0,-7.0,1.92,0.72,6µ6µ-16µ0µ-36µ22µ6µ-1µ3µ-28µ-1µ7µ27µ0µ-19µ45µ0µ-60µ-70µ0µ-6µ-10µ22,2021-07-24 18:00:00µ2021-08-01 15:00:00µ2021-08-08 21:30:00µ2021-08-15 19:00:00µ2021-08-20 20:00:00µ2021-08-28 21:30:00µ2021-09-12 16:30:00µ2021-09-18 16:30:00µ2021-09-22 22:15:00µ2021-09-25 21:30:00µ2021-10-01 22:15:00µ2021-10-15 19:00:00µ2021-10-23 16:30:00µ2021-10-26 22:15:00µ2021-10-31 21:30:00µ2021-11-05 22:15:00µ2021-11-20 20:45:00µ2021-11-27 16:30:00µ2021-12-05 19:00:00µ2021-12-12 19:00:00µ2021-12-17 22:15:00µ2021-12-21 21:45:00µ2022-01-09 19:00:00,19µ0µ-32µ0µ0µ-38µ0µ-15µ20µ-21µ-4µ-63µ19µ22µ45µ0µ36µ0µ0µ0µ19µ-1µ45,2021-07-13 14:00:00µ2021-07-15 21:00:00µ2021-07-24 16:30:00µ2021-08-04 12:00:00µ2021-08-08 19:00:00µ2021-08-16 22:15:00µ2021-08-21 21:30:00µ2021-08-27 20:00:00µ2021-09-12 21:30:00µ2021-09-18 19:00:00µ2021-09-27 20:00:00µ2021-10-03 16:30:00µ2021-10-16 16:00:00µ2021-10-25 22:15:00µ2021-10-31 19:00:00µ2021-11-06 19:00:00µ2021-11-21 15:00:00µ2021-11-27 21:30:00µ2021-12-12 16:30:00µ2021-12-19 22:00:00µ2021-12-23 18:00:00µ2022-01-02 19:30:00µ2022-01-09 21:30:00
0,19316,2022-01-13,21:00,2022,132,Supercoupe d'Espagne,Demi-finales,369,347,Atlético,Athletic,Atlético - Athletic,,,,,3703.0,2833.0,97.0,86.0,-28.0,-34.0,1.66,0.51,-20µ58µ17µ19µ-38µ0µ-15µ-38µ0µ0µ-38µ0µ-28µ-39µ0µ-79µ8µ100µ-35µ-38µ-39µ1µ-32µ-37µ0µ-78µ0µ-79µ75µ-28µ-63µ-79µ0µ0µ-39,2019-07-24 03:00:00µ2019-07-27 02:06:00µ2019-08-10 18:06:00µ2021-07-23 19:00:00µ2021-07-28 19:45:00µ2021-07-31 18:00:00µ2021-08-04 20:00:00µ2021-08-08 17:00:00µ2021-08-15 17:30:00µ2021-08-22 19:30:00µ2021-08-29 22:00:00µ2021-09-12 14:00:00µ2021-09-15 21:00:00µ2021-09-18 16:15:00µ2021-09-21 19:30:00µ2021-09-25 14:00:00µ2021-09-28 21:00:00µ2021-10-02 21:00:00µ2021-10-19 21:00:00µ2021-10-24 21:00:00µ2021-10-28 21:30:00µ2021-10-31 16:15:00µ2021-11-03 21:00:00µ2021-11-07 16:15:00µ2021-11-20 18:30:00µ2021-11-24 21:00:00µ2021-11-28 18:30:00µ2021-12-04 18:30:00µ2021-12-07 21:00:00µ2021-12-12 21:00:00µ2021-12-18 21:00:00µ2021-12-22 19:00:00µ2022-01-02 16:15:00µ2022-01-06 21:30:00µ2022-01-09 21:00:00,-38µ37µ56µ-38µ19µ19µ-39µ39µ21µ4µ39µ-79µ9µ1µ41µ-39µ14µ-78µ-34µ-35µ0µ-27µ-9µ23µ-1µ0µ0µ-40,2021-07-17 16:00:00µ2021-07-20 15:00:00µ2021-07-24 16:00:00µ2021-07-31 15:30:00µ2021-08-07 16:00:00µ2021-08-08 17:30:00µ2021-08-16 22:00:00µ2021-08-21 22:00:00µ2021-08-28 17:00:00µ2021-09-11 21:00:00µ2021-09-18 16:15:00µ2021-09-21 22:00:00µ2021-09-25 16:15:00µ2021-10-01 21:00:00µ2021-10-23 21:00:00µ2021-10-26 21:00:00µ2021-10-31 21:00:00µ2021-11-05 21:00:00µ2021-11-19 21:00:00µ2021-11-26 21:00:00µ2021-12-01 21:00:00µ2021-12-06 21:00:00µ2021-12-11 21:00:00µ2021-12-19 16:15:00µ2021-12-22 21:30:00µ2022-01-03 21:00:00µ2022-01-06 20:00:00µ2022-01-09 18:30:00
3,433400,2022-01-13,21:00,2021,138,CAN,Grupo A,9158,3793,Cap-Vert,Burkina Faso,Cap-Vert - Burkina Faso,,,,,1193.0,1212.0,56.0,56.0,-8.0,21.0,1.26,1.15,-3µ-6µ6µ-5µ-7µ-6µ19µ2µ-10µ0µ3µ2µ1µ13µ1,2019-07-27 19:30:00µ2019-08-03 19:00:00µ2019-11-13 17:00:00µ2019-11-18 17:00:00µ2020-11-12 17:00:00µ2020-11-17 14:00:00µ2021-03-26 17:00:00µ2021-03-30 21:00:00µ2021-09-01 15:00:00µ2021-09-07 18:00:00µ2021-10-07 15:00:00µ2021-10-10 18:00:00µ2021-11-13 17:00:00µ2021-11-16 17:00:00µ2022-01-09 20:00:00,8µ4µ-6µ0µ1µ-6µ-2µ2µ3µ-5µ0µ4µ11µ0µ0µ-12µ12µ-11µ23µ-1,2019-09-22 17:00:00µ2019-10-20 18:00:00µ2019-11-13 20:00:00µ2019-11-17 14:00:00µ2020-11-12 20:00:00µ2020-11-16 14:00:00µ2021-01-16 20:00:00µ2021-01-20 20:00:00µ2021-01-24 20:00:00µ2021-03-24 14:00:00µ2021-03-29 18:00:00µ2021-09-02 18:00:00µ2021-09-07 21:00:00µ2021-10-08 21:00:00µ2021-10-11 18:00:00µ2021-11-12 14:00:00µ2021-11-16 17:00:00µ2021-12-30 14:00:00µ2022-01-02 16:00:00µ2022-01-09 17:00:00
10,96299,2022-01-13,21:30,2022,89,Serie B,Journée 18,465,47,Benevento,AC Monza,Benevento - AC Monza,,,,,1829.0,1058.0,69.0,53.0,0.0,4.0,2.06,0.98,-19µ0µ-16µ0µ3µ2µ-25µ72µ-5µ4µ13µ-17µ3µ-9µ0µ11µ-31µ-57µ-33µ0µ0µ0µ0µ-2,2021-07-22 17:30:00µ2021-07-29 17:00:00µ2021-08-07 19:00:00µ2021-08-10 17:30:00µ2021-08-14 17:45:00µ2021-08-22 20:30:00µ2021-08-29 20:30:00µ2021-09-06 21:00:00µ2021-09-10 20:30:00µ2021-09-18 14:00:00µ2021-09-21 18:00:00µ2021-09-25 14:00:00µ2021-10-03 20:30:00µ2021-10-17 14:00:00µ2021-10-23 14:00:00µ2021-10-28 20:30:00µ2021-11-01 12:30:00µ2021-11-06 18:30:00µ2021-11-21 20:30:00µ2021-11-27 14:00:00µ2021-11-30 20:30:00µ2021-12-04 14:00:00µ2021-12-10 20:30:00µ2021-12-15 21:00:00,-4µ-10µ31µ1µ0µ-17µ-12µ-14µ17µ12µ-1µ-9µ9µ-7µ7µ23µ-10µ8µ16µ1µ-2µ8µ47µ26,2014-01-05 14:30:00µ2021-05-17 18:30:00µ2021-05-20 20:45:00µ2021-07-24 15:00:00µ2021-07-31 21:00:00µ2021-08-04 17:00:00µ2021-08-14 18:00:00µ2021-08-22 18:00:00µ2021-08-29 20:30:00µ2021-09-11 14:00:00µ2021-09-18 14:00:00µ2021-09-21 20:30:00µ2021-09-25 14:00:00µ2021-10-01 20:30:00µ2021-10-17 16:15:00µ2021-10-23 14:00:00µ2021-10-27 20:30:00µ2021-11-01 15:00:00µ2021-11-07 16:15:00µ2021-11-21 16:15:00µ2021-11-27 14:00:00µ2021-11-30 20:30:00µ2021-12-05 16:15:00µ2021-12-11 14:00:00
1,309807,2022-01-13,21:45,2022,523,Capital One Cup,Demi-finales,3845,263,Liverpool,Arsenal,Liverpool - Arsenal,,,,,3252.0,3376.0,91.0,93.0,9.0,17.0,1.53,1.13,-19µ-19µ38µ-38µ0µ0µ-19µ0µ0µ0µ-15µ0µ4µ0µ0µ-43µ37µ29µ0µ24µ35µ0µ-43µ20µ-85µ4µ18µ0µ0µ0µ3µ0µ0µ-40µ-36µ-85µ23µ0,2021-07-20 18:00:00µ2021-07-20 18:45:00µ2021-07-23 18:15:00µ2021-07-29 20:20:00µ2021-08-05 16:10:00µ2021-08-05 18:00:00µ2021-08-08 17:30:00µ2021-08-09 20:15:00µ2021-08-14 18:30:00µ2021-08-21 13:30:00µ2021-08-28 18:30:00µ2021-09-12 17:30:00µ2021-09-15 21:00:00µ2021-09-18 16:00:00µ2021-09-21 20:45:00µ2021-09-25 18:30:00µ2021-09-28 21:00:00µ2021-10-03 17:30:00µ2021-10-16 13:30:00µ2021-10-19 21:00:00µ2021-10-24 17:30:00µ2021-10-27 20:45:00µ2021-10-30 16:00:00µ2021-11-03 21:00:00µ2021-11-07 17:30:00µ2021-11-20 18:30:00µ2021-11-24 21:00:00µ2021-11-27 16:00:00µ2021-12-01 21:15:00µ2021-12-04 16:00:00µ2021-12-07 21:00:00µ2021-12-11 16:00:00µ2021-12-16 21:00:00µ2021-12-19 17:30:00µ2021-12-22 20:45:00µ2021-12-28 21:00:00µ2022-01-02 17:30:00µ2022-01-09 15:00:00,32µ1µ17µ-13µ-38µ-16µ0µ-10µ-25µ-129µ-27µ0µ-3µ1µ0µ0µ55µ-43µ-43µ1µ0µ18µ0µ-7µ0µ-23µ-83µ2µ8µ0µ0µ0µ-30µ-39,2019-07-18 05:00:00µ2019-07-21 00:01:00µ2019-07-24 01:00:00µ2019-07-28 16:15:00µ2021-07-13 19:00:00µ2021-07-17 15:00:00µ2021-07-28 16:00:00µ2021-08-01 16:00:00µ2021-08-08 15:00:00µ2021-08-13 21:00:00µ2021-08-22 17:30:00µ2021-08-25 21:00:00µ2021-08-28 13:30:00µ2021-09-11 16:00:00µ2021-09-18 16:00:00µ2021-09-22 20:45:00µ2021-09-26 17:30:00µ2021-10-02 18:30:00µ2021-10-18 21:00:00µ2021-10-22 21:00:00µ2021-10-26 20:45:00µ2021-10-30 13:30:00µ2021-11-07 15:00:00µ2021-11-20 18:30:00µ2021-11-27 13:30:00µ2021-12-02 21:15:00µ2021-12-06 21:00:00µ2021-12-11 16:00:00µ2021-12-15 21:00:00µ2021-12-18 18:30:00µ2021-12-21 20:45:00µ2021-12-26 16:00:00µ2022-01-01 13:30:00µ2022-01-09 18:10:00
5,306062,2022-01-13,22:00,2022,296,Coppa Italia,1/8 de finale,1692,4101,Milan,Genoa,Milan - Genoa,,,,,2776.0,2150.0,85.0,75.0,-6.0,42.0,1.79,1.33,-1µ-11µ17µ0µ-19µ-14µ18µ0µ1µ1µ21µ-7µ32µ0µ0µ-13µ28µ0µ-8µ0µ0µ32µ27µ17µ-65µ74µ-101µ1µ0µ-5µ-34µ-23µ1µ57µ0,2019-07-24 03:00:00µ2019-07-28 21:06:00µ2019-08-03 18:36:00µ2021-07-24 17:00:00µ2021-07-31 20:30:00µ2021-08-04 20:30:00µ2021-08-08 18:30:00µ2021-08-14 20:30:00µ2021-08-23 20:45:00µ2021-08-29 20:45:00µ2021-09-12 18:00:00µ2021-09-15 21:00:00µ2021-09-19 20:45:00µ2021-09-22 20:45:00µ2021-09-25 15:00:00µ2021-09-28 21:00:00µ2021-10-03 20:45:00µ2021-10-16 20:45:00µ2021-10-19 21:00:00µ2021-10-23 20:45:00µ2021-10-26 20:45:00µ2021-10-31 20:45:00µ2021-11-03 18:45:00µ2021-11-07 20:45:00µ2021-11-20 20:45:00µ2021-11-24 21:00:00µ2021-11-28 15:00:00µ2021-12-01 20:45:00µ2021-12-04 15:00:00µ2021-12-07 21:00:00µ2021-12-11 20:45:00µ2021-12-19 20:45:00µ2021-12-22 20:45:00µ2022-01-06 18:30:00µ2022-01-09 12:30:00,0µ-22µ0µ0µ0µ-38µ32µ-14µ-12µ-24µ-67µ8µ-25µ-29µ-34µ15µ-1µ-3µ-1µ0µ-46µ0µ-1µ33µ-5µ-68,2021-07-21 17:00:00µ2021-07-31 17:30:00µ2021-08-13 18:00:00µ2021-08-21 18:30:00µ2021-08-29 18:30:00µ2021-09-04 15:00:00µ2021-09-12 15:00:00µ2021-09-18 15:00:00µ2021-09-21 18:30:00µ2021-09-25 20:45:00µ2021-10-02 15:00:00µ2021-10-17 15:00:00µ2021-10-22 18:30:00µ2021-10-26 18:30:00µ2021-10-31 15:00:00µ2021-11-05 20:45:00µ2021-11-21 20:45:00µ2021-11-28 12:30:00µ2021-12-01 20:45:00µ2021-12-05 20:45:00µ2021-12-10 20:45:00µ2021-12-14 21:00:00µ2021-12-17 18:30:00µ2021-12-21 20:45:00µ2022-01-06 16:30:00µ2022-01-09 18:30:00
8,310944,2022-01-13,22:45,2022,326,Coupe du Portugal,1/4 de finale,11196,7025,Portimonense,Mafra,Portimonense - Mafra,,,,,1305.0,741.0,58.0,44.0,-32.0,14.0,1.19,1.03,-37µ19µ19µ-16µ-17µ4µ-18µ45µ-39µ44µ-11µ6µ20µ-19µ45µ-19µ-44µ0µ0µ6µ51µ0µ33µ-20µ6µ0µ-1,2021-07-10 11:30:00µ2021-07-14 21:00:00µ2021-07-17 11:00:00µ2021-07-17 11:30:00µ2021-07-18 11:00:00µ2021-07-23 21:15:00µ2021-08-01 21:30:00µ2021-08-08 16:30:00µ2021-08-15 16:30:00µ2021-08-22 16:30:00µ2021-08-29 21:30:00µ2021-09-12 19:00:00µ2021-09-17 21:15:00µ2021-09-26 21:30:00µ2021-10-03 19:00:00µ2021-10-17 18:00:00µ2021-10-24 21:30:00µ2021-11-01 20:00:00µ2021-11-06 19:00:00µ2021-11-19 19:45:00µ2021-11-27 16:30:00µ2021-12-03 20:00:00µ2021-12-12 16:30:00µ2021-12-18 16:30:00µ2021-12-21 21:45:00µ2021-12-29 22:00:00µ2022-01-09 16:30:00,0µ10µ-19µ-9µ32µ-9µ26µ-2µ27µ3µ-9µ-8µ6µ-4µ-3µ4µ7µ5µ27µ8µ19µ-8µ22µ6µ56µ7,2021-07-10 11:00:00µ2021-07-17 11:00:00µ2021-07-17 18:00:00µ2021-07-20 14:00:00µ2021-07-24 16:30:00µ2021-08-01 18:00:00µ2021-08-08 12:00:00µ2021-08-14 19:00:00µ2021-08-22 19:00:00µ2021-08-30 20:00:00µ2021-09-12 16:30:00µ2021-09-18 16:30:00µ2021-09-25 16:00:00µ2021-10-03 15:00:00µ2021-10-10 16:30:00µ2021-10-17 16:00:00µ2021-10-24 15:00:00µ2021-10-31 12:00:00µ2021-11-07 15:00:00µ2021-11-21 15:00:00µ2021-11-27 12:00:00µ2021-12-05 21:30:00µ2021-12-11 15:00:00µ2021-12-18 12:00:00µ2021-12-23 12:00:00µ2022-01-08 12:00:00
