index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_elo,visitor_elo,local_note,visitor_note,local_tilt,visitor_tilt,local_xG,visitor_xG,local_form_str,local_date_str,visitor_form_str,visitor_date_str
21,252289,2022-01-19,10:45,2022,54,A-League,11.058,Journée 8,4087,1953,Brisbane Roar,Perth Glory,Brisbane Roar - Perth Glory,1-0,1,0,0,522.0,417.0,37.0,32.0,-12.0,34.0,1.31,1.32,7.7µ7.8µ5.8µ5.2µ6.3µ5.7µ5.8µ6.4,2021-09-14 11:30:00µ2021-10-24 07:30:00µ2021-11-19 09:45:00µ2021-11-28 06:05:00µ2021-12-04 07:05:00µ2021-12-11 07:05:00µ2022-01-12 08:00:00µ2022-01-15 09:45:00,6.4µ5.7µ7.7µ5.7,2021-11-20 12:05:00µ2021-11-26 09:45:00µ2021-12-05 08:45:00µ2021-12-08 09:45:00
11,119303,2022-01-19,15:00,2022,17,Super League,39.029,Journée 15,105066,235,Volos New Football,Apollon Smyrnis,Volos New Football - Apollon Smyrnis,1-0,1,0,0,1199.0,1314.0,56.0,58.0,13.0,-34.0,1.6,0.69,6.8µ7.5µ7.6µ5.2µ6.8µ7µ5.4µ7µ6.2µ5.6µ5.4µ6.1µ5.8µ5.8µ6.2µ6.6µ6.5µ7.4µ6.2,2021-09-12 17:15:00µ2021-09-19 15:00:00µ2021-09-23 19:30:00µ2021-09-26 15:00:00µ2021-10-02 15:00:00µ2021-10-17 15:00:00µ2021-10-24 15:00:00µ2021-10-27 16:15:00µ2021-11-01 18:30:00µ2021-11-07 16:15:00µ2021-11-20 14:00:00µ2021-11-28 14:00:00µ2021-12-01 18:00:00µ2021-12-04 16:15:00µ2021-12-11 16:15:00µ2021-12-15 16:15:00µ2021-12-23 16:00:00µ2022-01-09 16:15:00µ2022-01-15 16:15:00,5.1µ5.2µ5.7µ6.3µ6.6µ5.6µ6.7µ5.7µ5.4µ6.5µ5.8µ6.2µ5.3µ6.7µ5µ6.4,2021-09-11 19:30:00µ2021-09-19 15:00:00µ2021-09-22 17:15:00µ2021-09-27 18:30:00µ2021-10-02 19:30:00µ2021-10-16 17:15:00µ2021-10-23 18:00:00µ2021-10-30 18:30:00µ2021-11-03 14:00:00µ2021-11-06 18:30:00µ2021-11-21 16:15:00µ2021-11-27 18:30:00µ2021-12-04 16:15:00µ2022-01-05 18:30:00µ2022-01-12 16:15:00µ2022-01-15 18:30:00
13,50012,2022-01-19,16:00,2022,37,Süper Lig,37.776,Journée 22,1248,2343,Göztepe,Sivasspor,Göztepe - Sivasspor,2-1,2,1,0,955.0,1427.0,50.0,61.0,-10.0,54.0,1.03,1.96,6.3µ6.6µ6.6µ5.6µ6.7µ6.7µ5.7µ5.2µ6.3µ5.4µ6.9µ5.6µ6.1µ5.3µ6.6µ6.6µ7.8µ6.6µ5.8µ5.5µ6µ6µ7.1µ8µ6.9,2021-07-25 16:00:00µ2021-08-05 17:00:00µ2021-08-15 20:45:00µ2021-08-22 20:45:00µ2021-08-29 18:15:00µ2021-09-12 19:00:00µ2021-09-17 19:00:00µ2021-09-22 19:00:00µ2021-09-26 18:00:00µ2021-10-02 15:00:00µ2021-10-17 12:30:00µ2021-10-23 18:00:00µ2021-10-31 14:00:00µ2021-11-07 11:30:00µ2021-11-22 18:00:00µ2021-11-29 18:00:00µ2021-12-02 15:00:00µ2021-12-06 18:00:00µ2021-12-11 14:00:00µ2021-12-19 14:00:00µ2021-12-23 18:00:00µ2021-12-26 14:00:00µ2021-12-29 16:30:00µ2022-01-09 14:00:00µ2022-01-14 18:00:00,5.9µ6.7µ5.3µ5.4µ7.3µ7µ6.9µ6.1µ5.5µ5.6µ5.7µ4.8µ6.3µ6.7µ6.2µ7.1µ7.8µ6µ6.4µ6.2µ6.3µ6.2µ6.5µ5.8µ7.8µ7.2µ7.1µ7.1µ6.1µ5.2µ6.8µ7.3µ6.4,2008-07-05 18:00:00µ2008-07-13 18:00:00µ2008-07-20 18:00:00µ2008-07-26 20:00:00µ2021-07-22 19:00:00µ2021-07-29 19:00:00µ2021-08-05 19:00:00µ2021-08-12 20:00:00µ2021-08-16 18:15:00µ2021-08-19 20:00:00µ2021-08-23 18:15:00µ2021-08-26 19:00:00µ2021-08-29 18:15:00µ2021-09-12 16:00:00µ2021-09-18 12:30:00µ2021-09-21 19:00:00µ2021-09-25 12:30:00µ2021-10-02 18:00:00µ2021-10-16 15:00:00µ2021-10-24 15:00:00µ2021-10-30 15:00:00µ2021-11-06 11:30:00µ2021-11-14 14:00:00µ2021-11-20 14:00:00µ2021-11-28 14:00:00µ2021-12-04 11:30:00µ2021-12-13 16:00:00µ2021-12-18 11:30:00µ2021-12-22 15:00:00µ2021-12-27 18:00:00µ2021-12-30 15:00:00µ2022-01-09 11:30:00µ2022-01-15 14:00:00
14,50014,2022-01-19,17:00,2022,37,Süper Lig,37.776,Journée 22,1452,1394,Kayserispor,İstanbul Başakşehir,Kayserispor - İstanbul Başakşehir,1-0,1,0,0,1663.0,1996.0,65.0,72.0,22.0,-13.0,1.54,0.98,5.5µ8.1µ5.2µ6.3µ7.4µ7.2µ5.8µ7.8µ6.4µ5.8µ7.1µ5.4µ5.5µ7.1µ6.8µ6.9µ6.5µ6.2µ5.8µ7.7µ7.1µ6.1µ6.3µ6.2µ7.6µ7.6µ6.7µ6.2,2021-07-17 15:00:00µ2021-07-31 18:00:00µ2021-08-14 20:45:00µ2021-08-20 19:30:00µ2021-08-28 18:15:00µ2021-09-11 19:00:00µ2021-09-19 18:00:00µ2021-09-22 19:00:00µ2021-09-26 12:30:00µ2021-10-02 15:00:00µ2021-10-12 15:00:00µ2021-10-18 19:00:00µ2021-10-23 15:00:00µ2021-10-27 19:45:00µ2021-10-31 11:30:00µ2021-11-07 17:00:00µ2021-11-14 14:00:00µ2021-11-22 18:00:00µ2021-11-27 14:00:00µ2021-12-01 17:00:00µ2021-12-05 11:30:00µ2021-12-12 17:00:00µ2021-12-19 14:00:00µ2021-12-23 15:00:00µ2021-12-27 18:00:00µ2021-12-30 13:00:00µ2022-01-09 14:00:00µ2022-01-15 11:30:00,6.7µ5.9µ6.9µ6.1µ6.2µ5.5µ5.9µ5.3µ5.8µ7.3µ5.6µ7.6µ5.1µ6.8µ7µ6.9µ7.4µ6.8µ6µ5.8µ7.7µ6.9µ6.5µ7.1µ6.6µ6.3,2021-07-24 18:00:00µ2021-07-27 18:00:00µ2021-07-31 18:00:00µ2021-08-03 18:00:00µ2021-08-06 18:00:00µ2021-08-15 18:15:00µ2021-08-22 18:15:00µ2021-08-28 18:15:00µ2021-09-12 19:00:00µ2021-09-19 18:00:00µ2021-09-22 16:00:00µ2021-09-26 15:00:00µ2021-10-01 19:00:00µ2021-10-15 19:00:00µ2021-10-24 15:00:00µ2021-11-01 18:00:00µ2021-11-06 14:00:00µ2021-11-20 14:00:00µ2021-11-26 18:00:00µ2021-11-30 15:00:00µ2021-12-05 14:00:00µ2021-12-11 14:00:00µ2021-12-18 17:00:00µ2021-12-21 15:00:00µ2021-12-25 17:00:00µ2022-01-08 14:00:00
16,50015,2022-01-19,19:00,2022,37,Süper Lig,37.776,Journée 22,10066,12887,Fenerbahçe,Altay,Fenerbahçe - Altay,2-1,2,1,0,2778.0,326.0,85.0,26.0,-13.0,37.0,2.43,1.38,5.2µ6.3µ6.8µ6.2µ7.3µ6µ6.4µ6µ6.8µ6.9µ6.3µ6.7µ7.3µ7.1µ6µ6.5µ5.4µ6.3µ6.7µ5µ6.2µ5.4µ6.2µ5.4µ5.6µ7.8µ5.9µ6.8µ5.9µ6.2µ7.4µ6.2µ5.6µ6.2µ6.1µ6.8µ6.6µ5.2µ6.2,2019-07-30 20:30:00µ2019-07-31 18:00:00µ2021-07-15 16:00:00µ2021-07-19 18:00:00µ2021-07-26 16:30:00µ2021-07-28 18:00:00µ2021-07-31 18:00:00µ2021-08-04 18:00:00µ2021-08-09 19:00:00µ2021-08-15 20:45:00µ2021-08-19 20:45:00µ2021-08-22 20:45:00µ2021-08-26 18:00:00µ2021-08-29 20:45:00µ2021-09-12 16:00:00µ2021-09-16 21:00:00µ2021-09-19 18:00:00µ2021-09-23 19:00:00µ2021-09-26 15:00:00µ2021-09-30 18:45:00µ2021-10-03 15:00:00µ2021-10-17 18:00:00µ2021-10-21 18:45:00µ2021-10-24 18:00:00µ2021-10-30 18:00:00µ2021-11-04 21:00:00µ2021-11-07 17:00:00µ2021-11-21 17:00:00µ2021-11-25 21:00:00µ2021-11-29 18:00:00µ2021-12-05 17:00:00µ2021-12-09 18:45:00µ2021-12-13 18:30:00µ2021-12-19 17:00:00µ2021-12-22 18:00:00µ2021-12-26 17:00:00µ2021-12-29 19:00:00µ2022-01-10 18:00:00µ2022-01-15 17:00:00,6.9µ7µ7µ7.8µ7.8µ5.8µ5.6µ6.7µ7.1µ7.1µ5.4µ5.6µ5.8µ7.3µ6.4µ5.8µ5.4µ6.9µ7µ7µ5.8µ5.6µ5.9µ5.6µ6.2µ6.1µ5.5,2021-05-17 19:00:00µ2021-05-22 17:00:00µ2021-05-26 19:00:00µ2021-08-14 20:45:00µ2021-08-21 20:45:00µ2021-08-29 20:45:00µ2021-09-11 16:00:00µ2021-09-17 19:00:00µ2021-09-21 16:00:00µ2021-09-24 19:00:00µ2021-10-03 15:00:00µ2021-10-17 15:00:00µ2021-10-22 19:00:00µ2021-10-26 14:30:00µ2021-10-30 15:00:00µ2021-11-06 14:00:00µ2021-11-21 14:00:00µ2021-11-26 18:00:00µ2021-11-30 13:00:00µ2021-12-04 17:00:00µ2021-12-10 18:00:00µ2021-12-17 18:00:00µ2021-12-21 18:00:00µ2021-12-25 11:30:00µ2021-12-30 19:00:00µ2022-01-09 14:00:00µ2022-01-16 11:30:00
15,50007,2022-01-19,19:00,2022,37,Süper Lig,37.776,Journée 22,2527,12901,Trabzonspor,Giresunspor,Trabzonspor - Giresunspor,1-1,1,1,1,2066.0,939.0,73.0,50.0,-4.0,30.0,2.23,1.01,6µ6.7µ6.4µ6.6µ6.6µ6.5µ7.9µ5.6µ6.5µ5.2µ7µ6.4µ7µ6.2µ6.2µ6.9µ6.9µ7.1µ6.3µ6.8µ7.5µ7µ7µ5.6µ7.1µ6.7µ6.4µ6.7µ6.7µ6.4,2021-07-14 17:00:00µ2021-07-22 17:00:00µ2021-07-24 18:00:00µ2021-07-26 18:00:00µ2021-08-05 19:30:00µ2021-08-12 18:00:00µ2021-08-16 18:15:00µ2021-08-19 19:30:00µ2021-08-23 18:15:00µ2021-08-26 19:00:00µ2021-08-29 20:45:00µ2021-09-12 19:00:00µ2021-09-18 15:00:00µ2021-09-23 16:00:00µ2021-09-27 19:00:00µ2021-10-02 15:00:00µ2021-10-17 18:00:00µ2021-10-23 18:00:00µ2021-10-29 19:00:00µ2021-11-06 17:00:00µ2021-11-22 18:00:00µ2021-11-28 14:00:00µ2021-12-04 14:00:00µ2021-12-11 17:00:00µ2021-12-18 14:00:00µ2021-12-21 18:00:00µ2021-12-25 17:00:00µ2021-12-28 16:30:00µ2022-01-07 18:00:00µ2022-01-15 14:00:00,6.2µ5.8µ5.7µ5.6µ5.8µ5.7µ6.4µ6µ6.4µ7.2µ7.1µ6.5µ5.7µ6.6µ7.1µ8.5µ7µ6.9µ5.8µ7.1µ6.1µ5.6µ5.9µ7.8µ5.5,2021-08-07 17:30:00µ2021-08-09 19:00:00µ2021-08-16 20:45:00µ2021-08-21 18:15:00µ2021-08-29 20:45:00µ2021-09-13 19:00:00µ2021-09-19 12:30:00µ2021-09-23 19:00:00µ2021-09-26 12:30:00µ2021-10-02 15:00:00µ2021-10-16 12:30:00µ2021-10-23 15:00:00µ2021-11-01 18:00:00µ2021-11-06 11:30:00µ2021-11-20 14:00:00µ2021-11-27 17:00:00µ2021-12-02 11:00:00µ2021-12-05 14:00:00µ2021-12-12 11:30:00µ2021-12-17 18:00:00µ2021-12-21 15:00:00µ2021-12-25 14:00:00µ2021-12-28 15:00:00µ2022-01-08 17:00:00µ2022-01-16 14:00:00
18,16734,2022-01-19,20:00,2022,92,Ligue 2,30.161,Journée 20,209,97,Amiens SC,Ajaccio,Amiens SC - Ajaccio,0-1,0,1,2,1071.0,1206.0,53.0,56.0,8.0,-26.0,1.36,0.77,7µ7.5µ5.8µ7.4µ7µ5.8µ5.7µ5.5µ5.4µ7.6µ6.4µ6.5µ5.5µ6.5µ6.3µ6.3µ6.5µ5.8µ7.5µ6.4µ6.4µ8.2µ6.6µ7.2µ7.6µ7.5µ7.3µ5.7µ6.7,2019-10-30 21:05:00µ2019-12-18 21:05:00µ2020-01-08 21:05:00µ2021-07-02 17:00:00µ2021-07-10 15:00:00µ2021-07-17 16:00:00µ2021-07-24 19:00:00µ2021-07-31 19:00:00µ2021-08-07 19:00:00µ2021-08-14 19:00:00µ2021-08-21 19:00:00µ2021-08-28 19:00:00µ2021-09-11 19:00:00µ2021-09-18 19:00:00µ2021-09-21 20:00:00µ2021-09-24 21:00:00µ2021-10-02 15:00:00µ2021-10-16 19:00:00µ2021-10-23 19:00:00µ2021-10-30 19:00:00µ2021-11-06 19:00:00µ2021-11-13 18:30:00µ2021-11-20 19:00:00µ2021-11-27 18:00:00µ2021-12-03 21:00:00µ2021-12-11 19:00:00µ2021-12-18 16:00:00µ2021-12-21 20:45:00µ2022-01-02 18:30:00,7.4µ5.8µ6.7µ5.9µ6.4µ7.2µ6.6µ7.4µ6.5µ6.9µ7µ7.3µ6.2µ5.3µ5.5µ7.5µ7.4µ5.7µ7µ6.2µ7.3µ6.4µ7.4µ7.1,2019-08-13 20:00:00µ2019-08-27 18:45:00µ2021-07-10 16:00:00µ2021-07-17 17:30:00µ2021-07-24 19:00:00µ2021-07-31 19:00:00µ2021-08-07 19:00:00µ2021-08-25 19:00:00µ2021-08-28 19:00:00µ2021-09-11 19:00:00µ2021-09-14 19:00:00µ2021-09-18 19:00:00µ2021-09-21 20:00:00µ2021-09-25 15:00:00µ2021-10-02 19:00:00µ2021-10-18 20:45:00µ2021-10-23 19:00:00µ2021-10-30 19:00:00µ2021-11-06 19:00:00µ2021-11-12 20:00:00µ2021-11-20 19:00:00µ2021-12-03 21:00:00µ2021-12-11 15:00:00µ2021-12-21 20:45:00
19,16742,2022-01-19,20:00,2022,92,Ligue 2,30.161,Journée 20,2524,1775,Toulouse,Nancy,Toulouse - Nancy,4-0,4,0,0,2211.0,1845.0,76.0,69.0,39.0,9.0,2.47,1.02,7.2µ5.7µ7.5µ5.9µ7.5µ5.4µ7.3µ6.2µ8.3µ7.1µ6.9µ7.1µ7µ6.5µ7.2µ7.5µ5.7µ6.5µ8.5µ6.6µ6.4µ6.3µ6.1µ7.3µ6.8µ5.7µ6.1µ6.9µ7µ6.6µ5.9,2019-10-30 21:05:00µ2019-12-18 18:45:00µ2021-05-21 20:45:00µ2021-05-27 20:45:00µ2021-05-30 18:00:00µ2021-07-13 19:00:00µ2021-07-17 18:00:00µ2021-07-24 19:00:00µ2021-07-31 19:00:00µ2021-08-07 19:00:00µ2021-08-14 15:00:00µ2021-08-21 15:00:00µ2021-08-28 15:00:00µ2021-09-13 20:45:00µ2021-09-18 15:00:00µ2021-09-21 20:00:00µ2021-09-27 20:45:00µ2021-10-02 15:00:00µ2021-10-16 15:00:00µ2021-10-23 15:00:00µ2021-10-30 15:00:00µ2021-11-06 19:00:00µ2021-11-13 16:05:00µ2021-11-20 15:00:00µ2021-11-28 13:45:00µ2021-12-06 20:45:00µ2021-12-13 20:45:00µ2021-12-18 13:45:00µ2021-12-21 20:45:00µ2022-01-02 13:45:00µ2022-01-15 19:00:00,7.3µ7µ6µ6.1µ6.2µ5.7µ4.8µ6.2µ5.5µ5.7µ5.1µ6.3µ6.3µ5.3µ6.4µ6.5µ6.6µ5.5µ6.4µ7.2µ7.2µ5.2µ6.8µ5.7µ5.9µ6.1µ5µ6.2µ7,2019-08-13 20:00:00µ2019-08-27 18:45:00µ2019-10-30 21:05:00µ2021-07-13 17:00:00µ2021-07-17 16:00:00µ2021-07-24 19:00:00µ2021-07-31 19:00:00µ2021-08-11 19:00:00µ2021-08-14 19:00:00µ2021-08-21 19:00:00µ2021-08-28 19:00:00µ2021-09-11 19:00:00µ2021-09-18 19:00:00µ2021-09-21 20:00:00µ2021-09-24 21:00:00µ2021-10-02 19:00:00µ2021-10-16 19:00:00µ2021-10-23 19:00:00µ2021-10-30 19:00:00µ2021-11-06 19:00:00µ2021-11-14 14:00:00µ2021-11-20 19:00:00µ2021-11-27 14:30:00µ2021-12-03 21:00:00µ2021-12-11 19:00:00µ2021-12-18 13:45:00µ2021-12-21 20:45:00µ2022-01-02 16:00:00µ2022-01-15 19:00:00
1,20991,2022-01-19,20:00,2022,1,Liga Santander,79.671,Journée 21,712,1887,Celta,Osasuna,Celta - Osasuna,2-0,2,0,0,2520.0,1855.0,81.0,69.0,-9.0,15.0,1.73,1.08,7µ5.7µ7.2µ6.6µ7.3µ5.8µ6.6µ5.5µ5.9µ5.6µ7.5µ6.7µ5.6µ5.8µ7.7µ5.4µ6.3µ6.7µ6.4µ6.9µ7.6µ5.6µ6.4µ6.6µ6.9µ7.5µ5.4µ5.8,1986-05-01 00:00:00µ1986-05-08 00:00:00µ2021-07-23 11:00:00µ2021-07-31 11:30:00µ2021-08-07 13:45:00µ2021-08-15 17:30:00µ2021-08-23 22:00:00µ2021-08-28 17:00:00µ2021-09-12 21:00:00µ2021-09-17 21:00:00µ2021-09-21 22:00:00µ2021-09-27 21:00:00µ2021-10-03 14:00:00µ2021-10-17 16:15:00µ2021-10-25 21:00:00µ2021-10-28 19:00:00µ2021-11-01 18:30:00µ2021-11-06 16:15:00µ2021-11-20 14:00:00µ2021-11-27 14:00:00µ2021-11-30 21:00:00µ2021-12-05 21:00:00µ2021-12-10 21:00:00µ2021-12-14 19:00:00µ2021-12-17 21:00:00µ2022-01-02 18:30:00µ2022-01-05 20:00:00µ2022-01-08 16:15:00,6.3µ5.9µ5.9µ6.8µ6.5µ6.7µ7.1µ7.3µ5.5µ6.3µ6.3µ7.1µ6.1µ5.1µ7.5µ5.4µ7.3µ7µ6.6µ7µ6.2µ7.1µ5.8µ5.4µ6µ6.2µ7.6µ6.6µ6.5µ7.1µ5.8µ5.6µ5.6µ7.1,1986-05-01 00:00:00µ1986-05-04 00:00:00µ2021-07-21 19:30:00µ2021-07-24 11:00:00µ2021-07-28 18:00:00µ2021-07-31 11:00:00µ2021-08-04 11:00:00µ2021-08-06 20:30:00µ2021-08-09 20:15:00µ2021-08-14 22:00:00µ2021-08-23 22:00:00µ2021-08-29 19:30:00µ2021-08-31 19:30:00µ2021-09-12 16:15:00µ2021-09-18 21:00:00µ2021-09-23 19:30:00µ2021-09-26 14:00:00µ2021-10-02 14:00:00µ2021-10-08 11:00:00µ2021-10-17 18:30:00µ2021-10-22 21:00:00µ2021-10-27 21:30:00µ2021-10-30 16:15:00µ2021-11-07 18:30:00µ2021-11-20 18:30:00µ2021-11-29 21:00:00µ2021-12-02 19:00:00µ2021-12-05 18:30:00µ2021-12-12 16:15:00µ2021-12-16 21:00:00µ2021-12-19 18:30:00µ2022-01-03 21:00:00µ2022-01-06 16:00:00µ2022-01-09 18:30:00
7,15859,2022-01-19,20:00,2022,16,Ligue 1,60.671,Journée 20,1728,2539,Montpellier,Troyes,Montpellier - Troyes,0-1,0,1,2,2244.0,1300.0,76.0,58.0,10.0,24.0,2.37,0.79,6.7µ5.7µ6.7µ5.7µ7µ5.8µ5.8µ6.7µ7µ5.9µ7.3µ6.3µ6.5µ5.9µ6.3µ6.9µ5.6µ7.1µ7.3µ5.4µ5.7µ7.3µ6.8µ7.9µ6.8µ7.5µ6.7µ5.2,2019-10-30 21:05:00µ2019-12-17 18:45:00µ2021-07-14 18:00:00µ2021-07-17 18:00:00µ2021-07-23 18:00:00µ2021-07-31 18:00:00µ2021-08-08 20:45:00µ2021-08-15 15:00:00µ2021-08-22 15:00:00µ2021-08-29 17:00:00µ2021-09-12 13:00:00µ2021-09-19 15:00:00µ2021-09-22 19:00:00µ2021-09-25 21:00:00µ2021-10-02 17:00:00µ2021-10-17 17:00:00µ2021-10-24 17:00:00µ2021-10-31 15:00:00µ2021-11-07 17:00:00µ2021-11-20 21:00:00µ2021-11-28 17:00:00µ2021-12-01 19:00:00µ2021-12-05 15:00:00µ2021-12-11 17:00:00µ2021-12-19 16:00:00µ2021-12-22 21:00:00µ2022-01-02 16:00:00µ2022-01-16 15:00:00,5.7µ6.5µ5.4µ5.4µ6.4µ6.2µ5.4µ6.6µ5.9µ7.6µ6.4µ6µ6.3µ5.6µ7µ7.3µ6.9µ5.1µ5.7µ6.2µ7.4µ6µ5.8µ6.3µ6.4µ6,2019-08-13 21:05:00µ2021-07-10 17:15:00µ2021-07-24 17:00:00µ2021-07-28 17:30:00µ2021-07-31 19:00:00µ2021-08-07 21:00:00µ2021-08-15 15:00:00µ2021-08-22 15:00:00µ2021-08-29 13:00:00µ2021-09-12 15:00:00µ2021-09-19 15:00:00µ2021-09-22 21:00:00µ2021-09-26 15:00:00µ2021-10-03 15:00:00µ2021-10-17 13:00:00µ2021-10-24 15:00:00µ2021-10-31 15:00:00µ2021-11-05 21:00:00µ2021-11-21 15:00:00µ2021-11-28 20:45:00µ2021-12-01 19:00:00µ2021-12-04 19:00:00µ2021-12-12 15:00:00µ2021-12-18 13:45:00µ2021-12-22 21:00:00µ2022-01-16 17:05:00
