,id,date,league,team1,team2,score1,score2,xg1,xg2,proj_score1,proj_score2,spi1,spi2,importance1,importance2,prob1,probN,prob2
0,8204.0,2021-12-12,Turkish Turkcell Super Lig,Adana Demirspor,Giresunspor,,,,,1.2,0.95,34.77,34.37,30.2,30.3,0.38520327577110886,0.29677717158818684,0.31801955264070425
1,8205.0,2021-12-12,Russian Premier Liga,Dinamo Moscow,Zenit St Petersburg,,,,,1.43,2.06,54.88,71.4,88.0,100.0,0.4288116371849154,0.19467512682701024,0.3765132359880743
2,8206.0,2021-12-12,Dutch Eredivisie,FC Twente,RKC,,,,,1.61,0.92,51.42,37.52,1.7,46.5,0.4758213800982899,0.3279925877971881,0.19618603210452196
3,8207.0,2021-12-12,Italy Serie A,Torino,Bologna,,,,,1.35,1.14,64.26,63.02,6.8,8.1,0.4320688893219965,0.2544152608323358,0.3135158498456677
4,8208.0,2021-12-12,Scottish Premiership,Hearts,Rangers,,,,,0.86,1.98,41.2,67.1,20.6,71.5,0.29106120997558016,0.3204931582804045,0.38844563174401536
5,8209.0,2021-12-12,French Ligue 1,Lille,Lyon,,,,,1.69,1.17,72.33,67.88,54.0,48.8,0.4429855951670507,0.20877577184067894,0.34823863299227037
6,8210.0,2021-12-12,German 2. Bundesliga,Erzgebirge Aue,Dynamo Dresden,,,,,1.27,1.27,25.03,30.74,51.9,25.4,0.40281819582308664,0.15024263848090966,0.4469391656960037
7,8211.0,2021-12-12,Belgian Jupiler League,Antwerp,Standard Liege,,,,,1.98,0.86,53.75,37.66,53.2,9.3,0.5398877360469985,0.28894174419333696,0.17117051975966463
8,8212.0,2021-12-12,FA Women's Super League,Brighton & Hove Albion,Manchester United Women,,,,,1.19,1.39,51.16,60.97,43.8,62.4,,,
9,8213.0,2021-12-12,German 2. Bundesliga,Hamburg SV,Hansa Rostock,,,,,1.95,0.91,45.92,29.7,61.2,21.2,0.4156003123424274,0.3523409221397558,0.2320587655178168
10,8214.0,2021-12-12,German 2. Bundesliga,Karlsruher SC,1. FC Heidenheim 1846,,,,,1.39,1.4,34.74,36.12,9.8,36.0,0.3024656866605895,0.28732735810367005,0.4102069552357405
11,8215.0,2021-12-12,Greek Super League,Apollon Smyrni,OFI Crete,,,,,1.23,1.41,20.14,33.11,44.4,6.0,0.08494770752565746,0.4187469756497766,0.49630531682456597
12,8216.0,2021-12-12,Spanish Segunda Division,Leganes,SD Ponferradina,,,,,1.36,0.97,37.33,32.6,22.3,43.2,0.262546078598868,0.2720115274220831,0.4654423939790488
13,8217.0,2021-12-12,Spanish Primera Division,Villarreal,Rayo Vallecano,,,,,1.62,0.99,76.9,69.45,23.4,40.8,0.375874809295511,0.28733642229750306,0.336788768406986
14,8218.0,2021-12-12,FA Women's Super League,Everton Ladies,West Ham United Ladies,,,,,1.45,1.07,53.31,50.87,20.1,20.5,0.4097132237620536,0.18035034553596016,0.40993643070198627
